#SysTm EventTmStmp Ori:x Ori:y Ori:z
21497084961715 1374855805771576935 -1.9362483 -0.408308 0.17185734 
21497095338641 1374855805776673370 -1.935822 -0.408018 0.1711293 
21497104799957 1374855805781647736 -1.9354498 -0.40773997 0.17049506 
21497140875036 1374855805786744171 -1.9352126 -0.40745574 0.16994955 
21497154914408 1374855805791718536 -1.9347887 -0.40723825 0.1695392 
21497164070519 1374855805810639435 -1.9341758 -0.407267 0.16948086 
21497179208624 1374855805816895538 -1.9341189 -0.40748292 0.16989905 
21497193797362 1374855805832032257 -1.9337577 -0.40803847 0.17129472 
21497206402276 1374855805837067658 -1.9336995 -0.40809754 0.1715954 
21497222700155 1374855805842103058 -1.9336404 -0.40808097 0.17177123 
21497230665972 1374855805847199493 -1.9336139 -0.40796572 0.17179622 
21497242263713 1374855805852173859 -1.9334197 -0.40776592 0.1716883 
21497249680163 1374855805857178742 -1.9334583 -0.40750042 0.1714576 
21497257584940 1374855805862244659 -1.9335831 -0.40718415 0.17115425 
21497263750055 1374855805867310577 -1.9337695 -0.40686008 0.17083926 
21497271471710 1374855805872284943 -1.9337603 -0.40657017 0.17055936 
21497278674518 1374855805877381378 -1.9340792 -0.40631017 0.17032726 
21497285450040 1374855805882355743 -1.9343523 -0.40614918 0.17016172 
21497298512760 1374855805887452179 -1.9347152 -0.40603575 0.17005771 
21497310415705 1374855805892426544 -1.9348533 -0.40598324 0.17002931 
21497316641861 1374855805897461945 -1.935191 -0.4059661 0.1700827 
21497325767452 1374855805902497345 -1.9354662 -0.4059798 0.17018697 
21497335289808 1374855805907593781 -1.9357597 -0.40597743 0.17028281 
21497344262797 1374855805911347443 -1.9357985 -0.40595806 0.17031048 
21497352045492 1374855805917603546 -1.9361612 -0.4058898 0.17025748 
21497374996814 1374855805922638947 -1.9364748 -0.40579945 0.17012417 
21497391477815 1374855805927735382 -1.9367825 -0.4056877 0.1699199 
21497406463317 1374855805932709747 -1.9369282 -0.40555292 0.1696499 
21497416443479 1374855805937745148 -1.9372102 -0.40542465 0.16930789 
21497425660631 1374855805942811066 -1.9374667 -0.4053106 0.16890885 
21497432008868 1374855805947876984 -1.9377098 -0.40520367 0.1684703 
21497444857945 1374855805952851349 -1.9377496 -0.40510553 0.1680325 
21497453861455 1374855805957886749 -1.9379287 -0.40501595 0.16760641 
21497458470031 1374855805962922150 -1.9380938 -0.4049381 0.167235 
21497463017566 1374855805968018585 -1.938223 -0.4048746 0.16691183 
21497468419672 1374855805972992950 -1.9381591 -0.40481636 0.16666828 
21497473150330 1374855805978058868 -1.9382262 -0.40476623 0.16650955 
21497478521915 1374855805983490997 -1.9382687 -0.4047025 0.16640036 
21497483130492 1374855805988160187 -1.9383019 -0.4046204 0.16633746 
21497489326127 1374855805993134552 -1.9381616 -0.40450498 0.16628495 
21497494026265 1374855805998169952 -1.9382098 -0.4043733 0.16623779 
21497498573801 1374855806003235870 -1.9382561 -0.40424523 0.16622366 
21497503182377 1374855806008332306 -1.9383149 -0.40411642 0.1662225 
21497508676044 1374855806012147003 -1.9381871 -0.40402177 0.16620967 
21497513437222 1374855806018311554 -1.938177 -0.40387556 0.16616163 
21497518015278 1374855806023377472 -1.9381825 -0.40374103 0.166081 
21497523478424 1374855806028443390 -1.9381403 -0.40362325 0.1659779 
21497529002612 1374855806033448273 -1.9379424 -0.4035329 0.16589475 
21497533763790 1374855806038453156 -1.9378705 -0.4034692 0.16584802 
21497538402886 1374855806043519074 -1.9377767 -0.40344825 0.16583005 
21497543133544 1374855806048584992 -1.9376972 -0.40346852 0.16583519 
21497548505129 1374855806053559357 -1.9374776 -0.40353596 0.1658875 
21497553937755 1374855806058594757 -1.937366 -0.4036726 0.16599725 
21497558576852 1374855806063630158 -1.9372665 -0.40383896 0.1661256 
21497563215949 1374855806068726593 -1.9371789 -0.40401074 0.16623798 
