#SysTm EventTmStmp Light
21497474706869 1374855805980530792 62.0 
21498774294844 1374855806887085968 61.0 
21498997154603 1374855807038264077 62.0 
21500063505891 1374855807793555851 61.0 
21500396330554 1374855807944739933 62.0 
21501045743035 1374855808246839817 61.0 
21502249222357 1374855808851087864 62.0 
21502508462400 1374855809002101134 61.0 
21503470830781 1374855809304469298 63.0 
21503826911966 1374855809455409240 65.0 
21504880047934 1374855809908717345 66.0 
21506764192600 1374855810512843322 67.0 
21507933153382 1374855810966145458 66.0 
21508363765315 1374855811117329540 65.0 
21508864177340 1374855811268238964 67.0 
21509184427606 1374855811419282675 66.0 
21509530498109 1374855811570436240 65.0 
21510098573799 1374855811721650839 67.0 
21511286579292 1374855812023530722 65.0 
21511790256997 1374855812174684286 63.0 
21512359004135 1374855812325929404 64.0 
21512826576240 1374855812476808310 63.0 
21513364009477 1374855812627870322 61.0 
21513837136289 1374855812778932333 63.0 
21514231276377 1374855812930146933 62.0 
21515006371754 1374855813081202986 64.0 
21515849069754 1374855813232264998 65.0 
21516226545719 1374855813383327009 68.0 
21516972341538 1374855813534572126 69.0 
21517762758141 1374855813685451033 71.0 
21518979880070 1374855813987648392 70.0 
21519594133084 1374855814138832474 72.0 
21520971578528 1374855814440742875 70.0 
21521594987653 1374855814591896439 71.0 
21523818946146 1374855815045051957 72.0 
21525617053882 1374855815649416158 70.0 
21527088502074 1374855815951784322 66.0 
21528570907079 1374855816253767970 70.0 
21530118381520 1374855816556075099 68.0 
21531520517944 1374855816857985499 66.0 
21534679040757 1374855817462203028 65.0 
21536752716936 1374855817915627249 66.0 
21539293690536 1374855818519905813 66.0 
21540017725330 1374855818670980057 64.0 
21540957050829 1374855818822133621 63.0 
21542403930120 1374855819275204202 64.0 
21544034633615 1374855819577572366 62.0 
21544712521605 1374855819728481789 60.0 
21546627674969 1374855820181930902 59.0 
