4,1,1,1,434,-9.943598,-8.968148,1.097503
4,2,1,2,478,-1.983429,-0.063699,1.832331
4,3,1,3,695,-11.450054,-3.790539,2.216280
4,4,1,4,359,-6.572663,-1.646290,1.615147
4,5,2,1,243,-12.966255,-5.375573,2.326976
4,6,2,3,421,-11.927779,0.999041,1.211281
4,7,2,4,392,-9.501091,2.831187,0.502969
4,8,2,5,495,-6.589911,3.514742,1.241511
2  4,1,1,1,182,-6.097944,3.699720,0.106770
2  4,2,1,2,299,-9.828578,2.724680,0.218966
2  4,3,1,3,27,-13.284377,-1.794907,0.169464
2  4,4,1,4,312,-7.815630,3.288417,0.280815
2  4,5,3,2,60,-11.047441,-6.428218,0.514228
2  4,6,3,4,189,-9.902721,-8.669123,0.831880
4,1,1,1,434,-9.943598,-8.968148,1.097503
4,2,1,2,478,-1.983429,-0.063699,1.832331
4,3,1,3,695,-11.450054,-3.790539,2.216280
4,4,1,4,359,-6.572663,-1.646290,1.615147
4,5,2,1,243,-12.966255,-5.375573,2.326976
4,6,2,2,25,7.333623,-5.952965,24.892527
4,7,2,3,421,-11.927779,0.999041,1.211281
4,8,2,4,392,-9.501091,2.831187,0.502969
4,9,2,5,495,-6.589911,3.514742,1.241511
11,1,1,1,478,-1.983429,-0.063699,1.832331
11,2,1,2,433,-9.939897,-8.968577,1.094013
11,3,1,3,359,-6.572663,-1.646290,1.615147
11,4,1,4,695,-11.450054,-3.790539,2.216280
11,5,2,1,25,7.333623,-5.952965,24.892527
11,6,2,2,610,-6.969748,3.440564,1.663557
11,7,2,3,686,-11.074369,1.738527,2.255997
11,8,2,4,256,-12.975826,-5.219532,2.855901
1  4,1,2,1,579,-11.000931,-4.236003,5.267201
1  4,2,2,2,388,-3.883744,-0.705276,5.560902
1  4,3,3,1,620,-10.432784,-6.736296,9.568361
1  4,4,3,2,369,-3.040436,-0.422613,5.184906
2  3  4,1,2,1,153,-4.479853,-0.754740,0.538482
2  3  4,2,2,3,162,-1.668121,0.144754,0.255220
