#SysTm EventTmStmp Mag:x Mag:y Mag:z
171310828909277 1378637064262040213 -23.039246 6.298828 -26.69983 
171310947603007 1378637064706589774 -23.399353 6.4193726 -27.119446 
171311042948649 1378637064833756522 -23.399353 6.478882 -27.119446 
171311145588661 1378637064961105349 -23.098755 6.5994263 -27.059937 
171311208399589 1378637065025039675 -22.979736 6.6589355 -26.998901 
171311331793453 1378637065088241580 -22.979736 6.6589355 -26.998901 
171311372721272 1378637065152145388 -22.799683 6.4193726 -27.059937 
171311427566381 1378637065215377810 -22.799683 6.478882 -27.119446 
171311453722340 1378637065279342654 -22.859192 6.478882 -27.119446 
171311508262248 1378637065342483523 -23.039246 6.5994263 -27.23999 
171311562863193 1378637065406417849 -23.039246 6.77948 -27.119446 
171311617311537 1378637065469650271 -23.278809 6.77948 -27.178955 
171311677253547 1378637065533554080 -23.339844 6.8984985 -27.119446 
171311734570807 1378637065596786502 -23.458862 7.0785522 -27.119446 
171311814320542 1378637065660751345 -23.458862 7.0785522 -26.939392 
171311876276897 1378637065723906582 -23.458862 7.258606 -26.879883 
171311943024950 1378637065787840909 -23.519897 7.1990967 -26.69983 
171312018959636 1378637065851073331 -23.519897 7.258606 -26.879883 
171312120073630 1378637065915007657 -23.519897 7.258606 -26.998901 
171312175681749 1378637065978209561 -23.278809 7.1395874 -26.939392 
171312219539523 1378637066042174405 -23.278809 7.019043 -26.939392 
171312274995040 1378637066105315274 -23.15979 7.019043 -26.939392 
171312331091485 1378637066169249600 -23.098755 7.019043 -27.059937 
171312390941935 1378637066232482022 -23.15979 7.019043 -27.119446 
171312452715168 1378637066296446866 -23.039246 7.1395874 -27.418518 
171312509879826 1378637066359587735 -22.859192 7.258606 -27.2995 
171312583128719 1378637066423583096 -22.859192 7.0785522 -27.23999 
171312637821227 1378637066486723965 -23.098755 7.0785522 -27.178955 
171312692971539 1378637066550688809 -23.278809 6.9595337 -27.119446 
171312748335494 1378637066613860196 -23.399353 6.9595337 -27.119446 
171312813771174 1378637066677825039 -23.399353 6.8984985 -27.178955 
171312875635968 1378637066740996426 -23.399353 6.6589355 -27.119446 
171313465869449 1378637066804961270 -23.458862 6.4193726 -26.939392 
171313553829163 1378637067376889934 -23.039246 6.5994263 -27.479553 
171313610658096 1378637067440885295 -23.098755 6.4193726 -27.418518 
171313671973523 1378637067504026164 -23.098755 6.4193726 -27.119446 
171313744398367 1378637067567960490 -22.918701 6.4193726 -26.998901 
171313806659926 1378637067631192912 -22.918701 6.1798096 -27.119446 
171313861962841 1378637067695096721 -22.859192 6.1798096 -26.998901 
