#SysTm EventTmStmp Rot:x Rot:y Rot:z
194248725864512 1378670075426323319 0.31908017 -0.2196643 -0.6175071 
194248804942797 1378670076062277871 0.31687105 -0.2143655 -0.61779535 
194248854599442 1378670076126181680 0.31749102 -0.21446493 -0.61750555 
194248903950885 1378670076189414102 0.31699485 -0.21487103 -0.61715955 
194248980404418 1378670076253348428 0.31729284 -0.21481244 -0.61649853 
194249029633778 1378670076316550332 0.31768346 -0.21467891 -0.6160937 
194249089545269 1378670076380484658 0.31709307 -0.2149328 -0.61595 
194249154431580 1378670076443686563 0.31750807 -0.21387817 -0.6158573 
194249219501015 1378670076507620889 0.3181012 -0.21340533 -0.6157642 
194249309688714 1378670076570822793 0.3182439 -0.21360122 -0.61444724 
194249358032985 1378670076634757119 0.317853 -0.21317424 -0.6149104 
194249405309041 1378670076697959024 0.31842735 -0.21248852 -0.61446625 
194249519974080 1378670076761862832 0.3187134 -0.21218711 -0.61422557 
194249579427766 1378670076825095254 0.3190941 -0.21181525 -0.61406755 
194249626123935 1378670076888983212 0.32026988 -0.21118043 -0.61382836 
194249673033747 1378670076952307187 0.3202869 -0.2110663 -0.61341417 
194249720950731 1378670077016210995 0.32025918 -0.2105249 -0.6132928 
194249800914107 1378670077079382382 0.32089162 -0.20987569 -0.6128529 
194249854782565 1378670077143408261 0.32099754 -0.20893185 -0.61325735 
194249909078307 1378670077206518613 0.3212234 -0.20839907 -0.61346406 
194249973781496 1378670077270483456 0.3211723 -0.20850995 -0.6126674 
194250045565412 1378670077333654843 0.32107517 -0.20833926 -0.6125555 
194250114419372 1378670077397619687 0.32102838 -0.20777509 -0.61255956 
194250165815679 1378670077460760556 0.3220292 -0.20710576 -0.6123102 
194250228199320 1378670077524755917 0.32273787 -0.20677786 -0.6120031 
194250291376490 1378670077587896786 0.32273963 -0.20597899 -0.611859 
194250354980948 1378670077651892148 0.32377192 -0.20524192 -0.6109077 
194250419592576 1378670077715033017 0.3238071 -0.20522955 -0.6099438 
194250484814611 1378670077779028378 0.32386306 -0.20474967 -0.6102513 
194250547289813 1378670077842199765 0.32417047 -0.20477171 -0.60976255 
194250613793705 1378670077906164609 0.32377103 -0.20505661 -0.6094968 
194250680358638 1378670077969305478 0.32331514 -0.20365687 -0.60991925 
194250742070830 1378670078033300839 0.3235787 -0.2036091 -0.6094971 
194250800181618 1378670078095465146 0.3236923 -0.20355615 -0.6093551 
194250871843452 1378670078160406552 0.3229995 -0.20348698 -0.60964453 
194250926780123 1378670078223608456 0.3220931 -0.20386703 -0.60971296 
194250989957295 1378670078287542783 0.32267934 -0.20381309 -0.6091883 
194251068547253 1378670078350744687 0.32252675 -0.20362236 -0.6086015 
194251117227246 1378670078414679013 0.32192227 -0.20370798 -0.60796076 
194251181075865 1378670078477850400 0.32187033 -0.20367563 -0.60712224 
194251248007043 1378670078542058118 0.321652 -0.20350659 -0.60668594 
194251356476446 1378670078605260022 0.3211706 -0.20318693 -0.6065996 
194251412115084 1378670078669224866 0.32172483 -0.20283777 -0.6058372 
194251463816595 1378670078732365735 0.32197708 -0.20272496 -0.6050013 
194251513595321 1378670078796330579 0.32171386 -0.20256108 -0.6044694 
194251563221448 1378670078859471448 0.3215641 -0.20220472 -0.6040661 
194251629816900 1378670078923466809 0.32229513 -0.20149267 -0.6036075 
