#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
279358674141919 1378824586645332656 0.02243 -0.01906 -0.00214 
279358688425453 1378824586708504042 0.00427 -0.00517 0 
279358695963985 1378824586835685452 0.00107 -0.00197 -0.00107 
279358770220051 1378824586899619778 0.00214 -0.00304 -0.00107 
279358809591331 1378824586962821682 -0.01282 0.01619 0.00534 
279358873378911 1378824587026756008 -0.00107 0.0023 -0.00214 
279358979162520 1378824587089927395 0 0.00017 0 
279359000465740 1378824587153861721 0 0.00017 0 
279359063703951 1378824587217094143 0 0.00017 0 
279359127674651 1378824587281028469 0 0.00017 0 
279359191004425 1378824587344199856 0 0.00017 0 
279359255005645 1378824587408195217 -0.00107 0.00017 0 
279359317999694 1378824587471336087 0 0.00017 0 
279359381939873 1378824587535300930 0 0.00017 0 
279359445361208 1378824587598472317 0 0.00017 0 
279359550534412 1378824587662437161 -0.00107 0.00017 0 
279359572112315 1378824587725608547 0 0.00017 0 
279359636083014 1378824587789542874 0 0.00017 0 
279359699351746 1378824587852775296 0 0.00017 0 
279359763352967 1378824587916679104 0 0.00017 0 
279359826774300 1378824587979911526 0 0.00017 0 
279359890806042 1378824588043845852 0 0.00017 0 
279359953769570 1378824588107017239 0 0.00017 0 
279360017801312 1378824588171012600 0 0.00017 0 
279360127949335 1378824588234153469 0 0.00017 0 
279360145162825 1378824588298118313 0 0.00017 0 
279360207912711 1378824588361289700 0 0.00017 0 
279360271944451 1378824588425285061 0 0.00017 0 
279360335060582 1378824588488638294 0 0.00017 0 
279360399000762 1378824588552603138 0 0.00017 0 
279360462422095 1378824588615774524 0 0.00017 0 
279360526453837 1378824588679708850 0 0.00017 0 
279360589569966 1378824588742910755 0 0.00017 0 
279360653510148 1378824588806875599 0 0.00017 0 
279360735518387 1378824588870016468 0 0.00017 0 
279360780535938 1378824588933981311 0 0.00017 0 
279360843713108 1378824588997152698 -0.00107 0.00017 0 
279360907683807 1378824589061148059 0 0.00017 0 
279360970922019 1378824589124319446 0 0.00017 0 
279361035411566 1378824589188284290 0 0.00017 0 
279361098283533 1378824589251455677 0 0.00017 0 
279361162132152 1378824589315526686 0 0.00017 0 
279361225400884 1378824589378698073 0 0.00017 0 
279361337715854 1378824589442601881 0 0.00017 0 
279361352335112 1378824589505773268 0 0.00017 0 
279361416244773 1378824589569768629 0 0.00017 0 
279361478719974 1378824589631414137 0 0.00017 0 
279361544125132 1378824589696874342 0 0.00017 0 
279361608645199 1378824589760259352 -0.00107 0.00017 -0.00214 
279361674416601 1378824589824315748 0 0.00017 0.00107 
279361735213184 1378824589887395582 0 0.00017 0 
279361802968410 1378824589951451979 0 0.00017 0 
279361885922783 1378824590014348707 0 0.00017 0 
279361924836257 1378824590078313551 0 0.00017 0 
279361998085150 1378824590141454420 0 0.00017 0 
279362052106210 1378824590205449782 0 0.00017 0 
279362115924308 1378824590268651686 0 0.00017 0.00107 
279362179650846 1378824590332616530 0 0.00017 0 
279362245025483 1378824590395787916 0 0.00017 -0.00107 
279362307409124 1378824590459722243 0 0.00017 0 
279362370220051 1378824590522893629 0 0.00017 0.00107 
279362525751868 1378824590586858473 0 0.00017 0.00214 
279362533717686 1378824590650029860 0 0.00017 0.00214 
279362560453531 1378824590713964186 0 0.00017 -0.00107 
279362623874865 1378824590777227125 0 0.00017 0.00107 
279362687509841 1378824590840276442 0 0.00017 0 
279362751083777 1378824590904271803 0 -0.0009 -0.00107 
279362819083166 1378824590968601616 0 0.00017 0.00107 
279362879360902 1378824591031711968 0 -0.0009 0 
279362943758888 1378824591095737847 0 0.00017 0.00107 
279363008767281 1378824591158848198 0 0.00017 0 
279363073958796 1378824591222874077 -0.00107 0.00017 0 
279363190790781 1378824591285953911 0 0.00017 0 
279363197535784 1378824591349766167 0 0.00017 0 
279363259461618 1378824591412937554 0 0.00017 0 
279363323584922 1378824591476902397 0 0.00017 0 
279363386853653 1378824591540073784 0 0.00017 0 
279363454547839 1378824591604252251 0 0.00017 0 
279363518976346 1378824591667393120 0 0.00017 0 
279363582824964 1378824591731418999 0 0.00017 -0.00107 
279363644292994 1378824591794574638 0 0.00017 0 
279363706462992 1378824591858631034 -0.00107 0.00017 0 
279363771776589 1378824591921741386 -0.00107 0.00017 0 
279363833916068 1378824591985523124 0 0.00017 0 
279363895536699 1378824592048572441 0 0.00017 0 
279363959141155 1378824592112628837 0 0.00017 0 
279364022593009 1378824592175830741 0 0.00017 0 
279364086563709 1378824592239765068 0 0.00017 0 
279364150564931 1378824592302966972 0 0.00017 0 
279364217740270 1378824592367206474 -0.00107 0.00017 0 
279364282016174 1378824592430286308 0 0.00017 0 
279364345559589 1378824592494342704 0 0.00017 0 
279364411453073 1378824592557453056 0 0.00017 0.00107 
279364477865404 1378824592621204277 0 0.00017 0 
279364530909810 1378824592684375663 0 0.00017 0 
279364595063633 1378824592748340507 0 0.00017 0 
279364658210284 1378824592811511894 0 0.00017 0 
279364722394626 1378824592875507255 0 0.00017 0 
279364802876849 1378824592938831230 0 0.00017 0 
279364869075537 1378824593002887626 0 0.00017 0 
279364912506026 1378824593065784355 0 0.00017 0 
279364976232563 1378824593129749198 0 0.00017 0 
279365067915763 1378824593192920585 0 0.00017 0 
279365104357087 1378824593257007499 0 0.00017 0 
279365166740727 1378824593320056816 0 0.00017 0 
279365230894550 1378824593384139800 -0.00107 0.00017 0 
279365293980161 1378824593447311187 -0.00107 0.00017 0 
279365357981381 1378824593511306548 0 0.00017 0 
279365423050815 1378824593574630522 0 0.00017 0 
279365486868913 1378824593638686919 0 0.00017 0 
279365549344115 1378824593701766753 0 0.00017 0 
279365614230428 1378824593765853667 0 0.00017 0 
279365716107430 1378824593828811431 0 0.00017 0 
279365739394474 1378824593892715239 0 0.00017 0 
279365803059971 1378824593955886626 0 0.00017 0 
279365866969630 1378824594019851470 0 0.00017 0 
279365931489698 1378824594082992339 0 0.00017 0 
279366031749121 1378824594147231841 0 0.00017 0 
279366056897908 1378824594210324080 0 0.00017 0 
279366120899129 1378824594274227889 0 0.00017 0 
279366183954217 1378824594337399275 -0.00107 0.00017 0 
279366248810009 1378824594401333602 0 0.00017 0 
279366357279412 1378824594464535506 0 0.00017 0 
279366375072789 1378824594528500350 0 0.00017 0 
279366438158399 1378824594591671736 0 0.00017 0 
279366502312221 1378824594655645709 0 0.00017 0 
279366566099800 1378824594718817096 0 0.00017 0 
279366629460092 1378824594782781940 0 0.00017 0 
279366692942467 1378824594845953326 0 0.00017 0 
279366756516403 1378824594909918170 0 0.00017 0 
279366823050815 1378824594973242145 0 0.00017 0 
279366894041201 1378824595037298541 0 0.00017 0 
279366950442848 1378824595100378375 0 0.00017 0 
279367050366548 1378824595164160113 0 0.00017 0 
279367073836714 1378824595227362018 0 0.00017 0 
279367137746373 1378824595291326861 0 0.00017 0 
279367201198227 1378824595354498248 -0.00107 0.00017 0 
279367265199448 1378824595418463092 0 0.00017 0 
279367333931329 1378824595481893329 0 0.00017 0 
279367393873339 1378824595545919208 0 0.00017 0 
279367457447274 1378824595608999042 0 0.00017 0 
279367522547227 1378824595673055438 0 0.00017 0 
279367587586141 1378824595736135272 0 0.00017 0 
279367700542041 1378824595800191669 0 0.00017 0 
