#SysTm EventTmStmp La:x La:y La:z
286972021376819 1378833455642139102 0.013163296 6.7402236E-4 0.003332138 
286972030471889 1378833455705310489 0.0052344836 -8.3314255E-4 -0.0066099167 
286972062243598 1378833455959552432 -0.005777695 -0.011260774 -0.009316444 
286972168790218 1378833456023517276 0.005323801 -0.011230713 0.0065813065 
286972184935495 1378833456085315372 0.0056785215 -0.0016053114 -0.0026330948 
286972250493254 1378833456150653506 -4.0993933E-4 -0.0025826637 -0.011954308 
286972316691943 1378833456213855411 -0.004792528 -0.014117712 0.015946388 
286972377732686 1378833456277789737 -0.0012570191 7.069111E-5 0.0025577545 
286972450706897 1378833456340991641 0.008309309 0.0010537263 0.018284798 
286972505429924 1378833456404895450 -0.009777871 0.002999721 -0.0038776398 
286972567447322 1378833456468127872 -0.011052351 -0.0077552926 0.0018568039 
286972635202547 1378833456532123233 0.004863322 0.0025716368 -4.682541E-4 
286972698990126 1378833456595264102 0.0020639542 0.0043604225 -0.016411781 
286972781212010 1378833456659198428 -0.010041673 -0.014296008 -0.01150322 
286972821804104 1378833456722400333 -3.312938E-4 0.0028153155 0.0014238358 
286972885286478 1378833456786304141 -0.0030607665 -0.0050180517 0.008738518 
286972948555210 1378833456849536563 -0.004739565 -0.008836029 -0.010296822 
286973013899327 1378833456913501407 -0.0019771038 -0.0037275124 -0.012422562 
286973078266793 1378833456976969596 0.010386527 -0.0020539314 -0.0015335083 
286973141566045 1378833457040934440 0.009440921 0.002646802 0.001824379 
286973205384144 1378833457104136344 -2.3258477E-4 0.0036566183 5.674362E-4 
286973269660047 1378833457168101188 -0.0035693329 -0.008230599 0.0026407242 
286973333569707 1378833457231272574 0.005466786 0.0045742616 0.0023651123 
286973397326766 1378833457294566031 0.007165364 0.01178056 0.00744915 
286973458184388 1378833457358408805 0.010522483 -0.009781448 -0.0071868896 
286973523497985 1378833457422343131 -0.0077944957 0.0153846275 -0.0011062622 
286973585759544 1378833457485545035 -0.014309778 0.006242091 -0.008454323 
286973650279612 1378833457549509879 0.003311053 -0.004081022 0.005221367 
286973712358049 1378833457612681266 0.009203043 -0.006159069 -0.0017185211 
286973801477536 1378833457676615592 -0.0079110125 -0.012289943 -0.0015382767 
286973839811124 1378833457739817496 0.009811962 -0.0057544913 -0.0099077225 
286973908787164 1378833457803751822 -0.006299278 -0.0028008036 -0.0024785995 
286973966104425 1378833457866953727 -0.01326694 0.006239902 0.015904427 
286974029769921 1378833457930918570 0.0018133828 0.0012483671 0.0046520233 
286974092977612 1378833457994059440 0.0067959903 7.474255E-4 -9.6321106E-5 
286974156887272 1378833458058024283 0.002727842 0.010188375 9.803772E-4 
286974222628153 1378833458121226188 -0.012643663 -0.005580472 0.0051431656 
286974285011795 1378833458185160514 -0.0069255102 0.0023876019 -0.014584541 
286974348250006 1378833458248362418 -0.012466665 0.017761108 0.008259773 
286974412373309 1378833458312327262 -0.0049332026 0.0019735545 -0.0043287277 
286974481532472 1378833458375468131 0.013545908 -0.0015063938 -0.008142471 
286974565158294 1378833458439432975 -0.010417864 0.0017724354 0.0044345856 
286974602637310 1378833458502604362 0.00300649 -0.0059514213 0.003973007 
286974666028123 1378833458566569205 0.00862949 -0.0043419935 0.0035600662 
286974729388416 1378833458629856559 0.0022390913 5.944669E-4 0.003189087 
286974795739706 1378833458693821402 -0.010951037 -0.008073829 7.247925E-4 
286974863128689 1378833458756992789 -0.0035734307 -0.0150670335 -0.0046806335 
286974923467464 1378833458820957633 -0.0054959822 2.8643385E-4 0.0011386871 
286975002759392 1378833458884342643 0.016239773 0.009006223 -0.02990055 
286975063403371 1378833458948307486 0.014385811 0.0040251575 9.355545E-4 
286975126641582 1378833459011356803 0.015925912 -0.0036388282 -0.0023612976 
286975175870944 1378833459075169059 -0.041337773 -0.0012038276 1.7166138E-5 
286975256047961 1378833459138370963 0.039575607 -0.018508883 0.00641346 
