#SysTm EventTmStmp Acc:x Acc:y Acc:z
294720383927415 1378841204034354586 -0.039764404 0.024368286 9.604614 
294720395036832 1378841204097648043 -0.035003662 0.027938843 9.609375 
294720399584367 1378841204288627046 -0.018341064 0.017227173 9.592712 
294720497402159 1378841204351798433 -0.037384033 0.025558472 9.617706 
294720525480903 1378841204415732759 -0.010009766 0.032699585 9.620087 
294720578189586 1378841204478934664 -0.026672363 0.025558472 9.614136 
294720643594743 1378841204542899507 -0.023101807 0.026748657 9.609375 
294720714310446 1378841204606085073 -0.03262329 0.014846802 9.610565 
294720804253983 1378841204670049917 -0.029052734 0.03627014 9.595093 
294720835628926 1378841204733190786 -0.039764404 0.038650513 9.583191 
294720894777407 1378841204797155630 -0.039764404 0.027938843 9.616516 
294720958320823 1378841204860357534 -0.03024292 0.038650513 9.5998535 
294721026930620 1378841204924322378 -0.037384033 0.019607544 9.622467 
294721089192180 1378841204987463247 -0.025482178 0.024368286 9.593903 
294721152796635 1378841205051397573 -0.033813477 0.049362183 9.610565 
294721215638082 1378841205114629995 -0.033813477 0.026748657 9.608185 
294721279547742 1378841205178564321 -0.031433105 0.021987915 9.603424 
294721342755432 1378841205241735708 -0.031433105 0.026748657 9.614136 
294721406756653 1378841205305731069 -0.035003662 0.027938843 9.608185 
294721467705837 1378841205368994009 -0.027862549 0.017227173 9.610565 
294721531401854 1378841205432836782 -0.021911621 0.030319214 9.601044 
294721598821357 1378841205496130239 -0.033813477 0.041030884 9.610565 
294721663097260 1378841205560003530 -0.037384033 0.030319214 9.5998535 
294721726213392 1378841205623174917 -0.024291992 0.027938843 9.593903 
294721785697597 1378841205687109243 -0.042144775 0.030319214 9.608185 
294721857115269 1378841205750280630 -0.035003662 0.035079956 9.610565 
294721912326622 1378841205814214956 -0.031433105 0.027938843 9.614136 
294721976388883 1378841205877447378 -0.031433105 0.018417358 9.592712 
294722041946643 1378841205941412222 -0.03262329 0.038650513 9.5998535 
294722103475713 1378841206004583608 -0.031433105 0.029129028 9.5998535 
294722167476934 1378841206068548452 -0.024291992 0.0398407 9.587952 
294722234621754 1378841206131750356 -0.035003662 0.03627014 9.590332 
294722294197521 1378841206195715200 -0.018341064 0.021987915 9.622467 
294722361525462 1378841206259094105 -0.029052734 0.026748657 9.603424 
294722427724149 1378841206323058949 -0.026672363 0.024368286 9.604614 
294722489344782 1378841206386199818 -0.035003662 0.021987915 9.605804 
294722548981589 1378841206450164661 -0.04333496 0.021987915 9.605804 
294722612006158 1378841206513336048 -0.033813477 0.032699585 9.614136 
294722679975026 1378841206577361927 -0.027862549 0.02079773 9.601044 
294722742969075 1378841206640502796 -0.039764404 0.0231781 9.623657 
294722807000817 1378841206704437122 -0.04095459 0.03627014 9.612946 
294722870483191 1378841206767608509 -0.033813477 0.026748657 9.620087 
294722931035610 1378841206831603870 -0.03857422 0.012466431 9.615326 
294722997600541 1378841206894744740 -0.037384033 0.035079956 9.612946 
294723057176308 1378841206958740101 -0.033813477 0.03388977 9.608185 
294723120963887 1378841207021925142 -0.03262329 0.026748657 9.629608 
294723188322348 1378841207085828950 -0.012390137 0.029129028 9.615326 
294723247318228 1378841207149061372 -0.027862549 0.032699585 9.636749 
294723311288928 1378841207213026216 -0.018341064 0.0231781 9.631989 
294723378708432 1378841207276197603 -0.03262329 0.027938843 9.610565 
294723438589401 1378841207340131929 -0.01953125 0.030319214 9.603424 
294723502163337 1378841207403333833 -0.029052734 0.03388977 9.6188965 
294723570498451 1378841207467268159 -0.042144775 0.035079956 9.628418 
294723634408111 1378841207530439546 -0.036193848 0.0231781 9.5998535 
294723696700191 1378841207594373872 -0.023101807 0.032699585 9.5998535 
294723756245437 1378841207657606294 -0.024291992 0.024368286 9.616516 
