#SysTm EventTmStmp Pressure
521160903972834 1379848325081217784 992.6444 
521160919782387 1379848325271540000 992.6444 
521160995137185 1379848325335504844 992.61444 
521161046716616 1379848325398645713 992.5245 
521161110382111 1379848325462610557 992.5845 
521161173223557 1379848325525812461 992.61444 
521161238903400 1379848325589777305 992.5845 
521161302599416 1379848325652918174 992.6444 
521161363914844 1379848325716913536 992.55444 
521161427122535 1379848325780054405 992.5845 
521161491703643 1379848325844721153 992.6444 
521161554392489 1379848325907221153 992.4945 
521161619187238 1379848325971155479 992.4346 
521161681296197 1379848326034326866 992.5845 
521161745205856 1379848326098291709 992.5845 
521161808505108 1379848326161524131 992.5845 
521161872445289 1379848326225458457 992.55444 
521161936049744 1379848326288629844 992.5845 
521162000478250 1379848326352503135 992.5245 
521162062678769 1379848326415735557 992.67444 
521162128877456 1379848326479700401 992.61444 
521162189887681 1379848326542871787 992.55444 
521162253858381 1379848326606867149 992.67444 
521162317005033 1379848326670038536 992.5845 
521162381250416 1379848326733972862 992.61444 
521162444610710 1379848326797356599 992.6444 
521162508520369 1379848326861351961 992.5845 
521162571605977 1379848326924523347 992.7044 
521162635332515 1379848326988488191 992.55444 
521162699211655 1379848327052300447 992.61444 
521162762816111 1379848327115593904 992.5845 
521162826390046 1379848327178826326 992.55444 
521162889628257 1379848327242760652 992.61444 
521162952805429 1379848327305932039 992.61444 
521163016806649 1379848327369896883 992.5845 
521163080746830 1379848327433037752 992.5845 
521163143954521 1379848327497033113 992.5245 
521163208016781 1379848327561120027 992.55444 
521163271407595 1379848327624153489 992.55444 
521163334218521 1379848327687324876 992.55444 
521163398341825 1379848327751289719 992.55444 
521163462007321 1379848327814461106 992.55444 
521163525611778 1379848327878425950 992.55444 
521163588605826 1379848327941627854 992.55444 
521163652546005 1379848328005592698 992.5245 
521163729304742 1379848328069008225 992.61444 
521163793183881 1379848328133156175 992.61444 
521163865822367 1379848328196297044 992.5845 
521163920240191 1379848328261207932 992.67444 
521164055231798 1379848328323433274 992.5245 
521164062556688 1379848328387398118 992.67444 
521164096892106 1379848328450142259 992.4945 
521164160954369 1379848328514107102 992.61444 
521164227000455 1379848328577247971 992.55444 
521164308825572 1379848328641273850 992.6444 
521164354423008 1379848328704445237 992.5845 
521164415219589 1379848328768379563 992.61444 
521164480716309 1379848328831550950 992.67444 
521164561900500 1379848328895668382 992.5845 
521164626695250 1379848328958717698 992.55444 
521164673147257 1379848329022652024 992.61444 
521164732753543 1379848329085853928 992.6444 
521164797365172 1379848329149757737 992.5845 
521164868660763 1379848329212959641 992.5845 
521164939284903 1379848329277564222 992.5245 
521165005910876 1379848329340674574 992.4945 
521165072994655 1379848329404395277 992.4945 
521165148654657 1379848329467475111 992.5845 
521165205483591 1379848329531897718 992.5245 
521165264235307 1379848329594977552 992.55444 
521165376641838 1379848329659064466 992.5245 
521165383661525 1379848329721747572 992.5845 
521165432555161 1379848329785651380 992.61444 
521165500829235 1379848329848822767 992.6444 
521165570904009 1379848329912848646 992.55444 
521165647540664 1379848329976508314 992.61444 
521165722773382 1379848330040381605 992.55444 
521165773040434 1379848330103629019 992.55444 
521165815768957 1379848330167197134 992.55444 
521165879403932 1379848330230368520 992.55444 
521165944412326 1379848330294333364 992.5245 
521166005666713 1379848330357504751 992.55444 
521166074429111 1379848330421439077 992.61444 
521166133394472 1379848330484640981 992.55444 
521166201576983 1379848330548585069 992.4945 
521166269576372 1379848330611786973 992.55444 
521166326771551 1379848330675721299 992.55444 
521166390589648 1379848330738923203 992.5245 
521166449799172 1379848330802888047 992.61444 
521166512884781 1379848330866059434 992.55444 
521166576794441 1379848330930024278 992.5245 
521166654926595 1379848330993561875 992.5245 
521166716547226 1379848331057618272 992.61444 
521166779571795 1379848331120728623 992.61444 
521166845587359 1379848331184876573 992.61444 
521166944320765 1379848331247864854 992.55444 
521166965288261 1379848331311921250 992.6444 
521167024101018 1379848331374679957 992.5845 
521167094145273 1379848331438614283 992.55444 
521167148471535 1379848331501846705 992.4346 
521167213235765 1379848331565781031 992.55444 
521167278946128 1379848331628952418 992.55444 
521167345175335 1379848331692917261 992.5845 
521167432524640 1379848331756485377 992.61444 
521167493748507 1379848331820541773 992.6444 
521167552530744 1379848331883652125 992.5845 
521167616989771 1379848331947678004 992.55444 
521167707238512 1379848332010757838 992.5845 
521167721888291 1379848332074356470 992.4346 
521167784241412 1379848332137497340 992.55444 
521167848639397 1379848332201919947 992.5845 
521167929396303 1379848332264633570 992.61444 
521167994191052 1379848332328659449 992.67444 
521168053064851 1379848332391800318 992.6444 
521168129152139 1379848332455765162 992.61444 
521168198067141 1379848332518997584 992.6444 
521168229625206 1379848332582870875 992.5845 
521168292863416 1379848332646042261 992.5845 
521168356742556 1379848332710007105 992.6444 
521168431761632 1379848332773178492 992.55444 
521168515814736 1379848332837631617 992.5845 
521168571483896 1379848332900772486 992.55444 
521168634081180 1379848332964798365 992.55444 
521168675466804 1379848333027902761 992.55444 
521168738796577 1379848333091592946 992.5245 
521168801485422 1379848333154794850 992.55444 
521168870888748 1379848333218698659 992.55444 
521168951218369 1379848333281992116 992.4945 
