#SysTm EventTmStmp Grav:x Grav:y Grav:z
524474360526694 1379851638479415174 -0.028645102 0.035984155 9.806542 
524474370964663 1379851638543318983 -0.028940067 0.03506615 9.806544 
524474392176322 1379851638733838564 -0.028800288 0.03248577 9.806554 
524474477633364 1379851638797833925 -0.029006822 0.03218991 9.806555 
524474512670752 1379851638860974795 -0.029435432 0.03191572 9.806554 
524474574749188 1379851638924939638 -0.027805353 0.03192186 9.806559 
524474640215387 1379851638988111025 -0.028739665 0.03331539 9.806552 
524474703697763 1379851639052106386 -0.029700417 0.03368005 9.806547 
524474768553553 1379851639115277773 -0.030306583 0.033751912 9.806545 
524474829258574 1379851639179242617 -0.027530266 0.033943884 9.806553 
524474893961762 1379851639242383486 -0.027444167 0.033115827 9.806556 
524474958909115 1379851639306348330 -0.02791908 0.032882035 9.806556 
524475021231716 1379851639369519716 -0.027914803 0.032411832 9.806557 
524475083554316 1379851639433515078 -0.027903879 0.031483285 9.80656 
524475147891261 1379851639496670543 -0.02844822 0.030276323 9.806562 
524475210519065 1379851639560665904 -0.027048716 0.030329779 9.806566 
524475273848837 1379851639623806773 -0.027556218 0.029872537 9.806566 
524475338979313 1379851639687771617 -0.028766572 0.030092793 9.806562 
524475401240872 1379851639750943004 -0.027714627 0.03168152 9.80656 
524475466768111 1379851639814938365 -0.027779114 0.031593528 9.80656 
524475528083539 1379851639878079234 -0.027406128 0.031125197 9.806562 
524475591901637 1379851639942044078 -0.02770437 0.031342883 9.806561 
524475655628176 1379851640005215465 -0.02772631 0.03154115 9.8065605 
524475719354712 1379851640069210826 -0.027569586 0.031972744 9.80656 
524475782440322 1379851640132382213 -0.028615627 0.031604078 9.806558 
524475847204553 1379851640196347057 -0.029713588 0.031767044 9.806554 
524475912182424 1379851640259487926 -0.029822577 0.03129093 9.806555 
524475978289552 1379851640323452769 -0.030041557 0.03262299 9.80655 
524476036980227 1379851640386624156 -0.030999405 0.03319276 9.806545 
524476099821674 1379851640450619518 -0.031600047 0.033823185 9.806541 
524476162937804 1379851640513790904 -0.030082142 0.033258516 9.806547 
524476228037758 1379851640577755748 -0.029799953 0.031992197 9.806553 
524476290390880 1379851640640927135 -0.029222613 0.032623045 9.806552 
524476354208977 1379851640704861461 -0.028872905 0.032806918 9.806553 
524476419675176 1379851640768032848 -0.029821115 0.032849915 9.80655 
524476482272460 1379851640832028209 -0.027646434 0.033770576 9.806553 
524476546762008 1379851640895199596 -0.027421603 0.033465173 9.806555 
524476610763228 1379851640959133922 -0.026285743 0.033440057 9.806558 
524476673726755 1379851641022305309 -0.02570263 0.033046063 9.806561 
524476737514336 1379851641086300670 -0.026225215 0.03306166 9.80656 
524476801240872 1379851641149679580 -0.026196128 0.033336133 9.806559 
524476863441390 1379851641213644423 -0.026166376 0.034081355 9.806556 
524476926710121 1379851641276815810 -0.025964672 0.03512067 9.806553 
524476990863944 1379851641340750136 -0.024142297 0.035924558 9.806555 
524477055322973 1379851641403952041 -0.026715314 0.03589234 9.806548 
524477122620393 1379851641467947402 -0.026631515 0.03586951 9.806548 
524477188208672 1379851641531240859 -0.0265084 0.035716765 9.806549 
524477254376840 1379851641595266738 -0.026093295 0.035830453 9.80655 
524477314135730 1379851641658377089 -0.025147153 0.036439776 9.80655 
524477392573086 1379851641722433486 -0.025728852 0.037362993 9.806545 
524477451233241 1379851641785604873 -0.024860602 0.036045637 9.806552 
524477499669072 1379851641849356093 -0.024588518 0.036127687 9.806553 
524477562632600 1379851641912510597 -0.02497569 0.035825256 9.806553 
524477626481221 1379851641976414406 -0.024691597 0.037693217 9.806547 
524477694999456 1379851642039646828 -0.023808334 0.038357906 9.806546 
524477760465653 1379851642103611672 -0.02503229 0.036438055 9.806551 
524477821140154 1379851642166752541 -0.024113644 0.036354706 9.806553 
