#SysTm EventTmStmp Rot:x Rot:y Rot:z
41442735694304 41441924303000 -0.027821215 -0.13331841 -0.9901453 
41442746186971 41441990518000 -0.024904028 -0.1329134 -0.99038297 
41442765092346 41442057119000 -0.022236517 -0.1336639 -0.9902527 
41442774424304 41442125164000 -0.021717912 -0.12914127 -0.9907756 
41442783884595 41442192013000 -0.029633328 -0.12885353 -0.9907789 
41442795702429 41442257936000 -0.030275108 -0.13965708 -0.9891694 
41442807140054 41442323779000 -0.03158143 -0.13069193 -0.9904132 
41442819338637 41442390527000 -0.03802171 -0.13422546 -0.9897995 
41442834353595 41442457239000 -0.03278853 -0.13600685 -0.9896955 
41442844816429 41442523804000 -0.03004983 -0.13203406 -0.9902416 
41442860819554 41442590781000 -0.025583873 -0.13286977 -0.9899112 
41442876703596 41442657317000 -0.02257875 -0.132877 -0.9897166 
41442886805096 41442723866000 -0.020093456 -0.13444494 -0.9892618 
41442933220762 41442790547000 -0.017305048 -0.13097839 -0.9896873 
41442941357679 41442857163000 -0.0109389555 -0.13560861 -0.9886983 
41442950483012 41442923948000 -0.013465514 -0.12240772 -0.9903434 
41443036608721 41442990623000 -0.0056081577 -0.12157554 -0.99052036 
41443062117637 41443057161000 -0.0016685099 -0.121963665 -0.99051505 
41443128791512 41443123813000 0.0029096992 -0.11895398 -0.99080825 
41443196677929 41443190515000 0.0028888455 -0.11955005 -0.9908141 
41443263326512 41443257163000 3.5216627E-4 -0.117578715 -0.99107087 
41443328905804 41443323883000 6.743737E-5 -0.12040753 -0.9907602 
41443395343763 41443390544000 0.0036154264 -0.12029644 -0.99065095 
41443466389679 41443457231000 0.0059647355 -0.11892105 -0.9906854 
41443529900762 41443523890000 0.0071890117 -0.116544195 -0.99113035 
41443596317554 41443590550000 0.007969376 -0.11491453 -0.9912283 
41443663589429 41443657181000 0.0082191 -0.11227887 -0.99148923 
41443730955429 41443723874000 0.009934698 -0.112233564 -0.9913262 
41443797494346 41443790532000 0.009913936 -0.10223315 -0.99239945 
41443861721263 41443857180000 0.013192332 -0.10852666 -0.99151367 
41443938199096 41443923941000 0.010718869 -0.106676616 -0.9917697 
41443996514971 41443990516000 0.013692713 -0.10350833 -0.9922563 
41444062468971 41444057184000 0.013308782 -0.11081409 -0.99154454 
41444127938221 41444123815000 0.00994502 -0.11487721 -0.99107146 
41444194670471 41444190474000 0.014190744 -0.116766535 -0.9907614 
41444262220805 41444257187000 0.017041737 -0.1182415 -0.99035275 
41444329353721 41444323855000 0.016159123 -0.11497497 -0.9908212 
41444396169388 41444390561000 0.012540561 -0.11704308 -0.9906825 
41444462448888 41444457193000 0.0058820564 -0.111746185 -0.9915139 
41444527788680 41444523841000 7.0108863E-4 -0.109979995 -0.99198806 
41444595458264 41444590556000 -0.0038314997 -0.109180786 -0.9922719 
41444663863847 41444657918000 -0.0062728655 -0.11076012 -0.9922255 
41444728875680 41444723830000 -0.007018718 -0.10998522 -0.99245983 
41444797946972 41444790564000 -0.008696205 -0.11062843 -0.99232566 
41444861908263 41444857178000 -0.017356597 -0.10422313 -0.9932771 
41444927653013 41444923828000 -0.021732574 -0.1116592 -0.99245733 
41444995229055 41444990518000 -0.026081407 -0.10737777 -0.9929359 
41445062056929 41445057216000 -0.029642826 -0.10524206 -0.9932278 
41445127678596 41445123833000 -0.029865494 -0.111406215 -0.99258876 
41445195282179 41445190511000 -0.026649158 -0.11229916 -0.9926306 
41445266677929 41445257299000 -0.019913986 -0.11343712 -0.99273425 
41445328059721 41445323810000 -0.015833829 -0.11887485 -0.9921831 
41445394616679 41445390519000 -0.0075035407 -0.11343813 -0.9929886 
41445464360013 41445457986000 -0.007939644 -0.10832337 -0.9937627 
41445529450305 41445523854000 -0.005725933 -0.113510564 -0.9931657 
41445595436847 41445590495000 -0.006875701 -0.110735625 -0.9935053 
41445661507888 41445657176000 -0.004630395 -0.09623516 -0.99515647 
41445729215846 41445723904000 -0.006484322 -0.09089613 -0.995801 
41445799743346 41445790641000 0.0023328965 -0.10305647 -0.9946276 
41445863443263 41445857216000 0.0064685936 -0.08339908 -0.9964875 
41445929937763 41445923987000 -0.0037274335 0.08451305 0.9964015 
41445995779722 41445990551000 -0.0072532482 0.090062365 0.9958793 
41446065928764 41446057203000 -0.0054986915 0.08896622 0.9959558 
41446132685764 41446123897000 5.540389E-4 0.09083104 0.99571615 
41446197991680 41446190542000 -0.001994537 0.09951609 0.9949286 
41446262760722 41446257259000 0.008738634 0.09659084 0.99514574 
41446328638014 41446323873000 0.0082866335 0.09738769 0.99476254 
41446395178181 41446390519000 0.0017622557 0.1114654 0.9934934 
41446461570347 41446457186000 -0.0056724674 0.09088475 0.99576974 
41446528297347 41446523858000 0.017481387 0.08048637 0.996139 
41446594354806 41446590530000 0.0029875615 0.09404475 0.99520034 
41446660922514 41446657182000 0.0097498875 0.088895924 0.99573594 
41446729974598 41446724666000 0.0053959046 0.06606595 0.9975945 
41446801558265 41446790622000 0.008684195 0.090635486 0.995703 
41446861926473 41446857212000 -0.0020506706 0.085620195 0.9962667 
41446928027681 41446923858000 -0.0016589625 0.09166805 0.9957602 
41446994680056 41446990514000 -0.00676873 0.093210936 0.9956214 
41447062155140 41447057219000 -0.002202003 0.081445895 0.9966188 
41447127733556 41447123851000 0.012972477 -0.11211359 -0.9935939 
41447194098473 41447190524000 0.02461417 -0.08306031 -0.99615234 
41447271225640 41447257285000 0.0071500386 -0.07555118 -0.9970979 
41447362478932 41447323875000 0.038761787 -0.069565274 -0.9968205 
41447394457640 41447390500000 0.02353468 -0.08089165 -0.99643284 
41447461397473 41447457170000 -0.038494445 0.041226458 0.9984043 
41447528123806 41447523836000 -0.032729823 0.07498552 0.99657667 
41447595114057 41447590543000 -0.02826885 0.08034552 0.9962243 
41447661094307 41447657189000 -0.022413611 0.08181853 0.9960817 
41447727732307 41447723857000 -0.007471021 0.08988742 0.9954138 
41447795615182 41447790529000 -0.00384405 0.08415094 0.99515605 
41447862245640 41447857221000 -0.0058431383 0.12288508 0.9917212 
