#SysTm EventTmStmp Grav:x Grav:y Grav:z
41696402707508 41695886760000 -0.13698012 2.8552763 9.380781 
41696417183633 41695953395000 0.0069582947 2.8346784 9.388022 
41696426401550 41696020110000 0.16971856 2.7815752 9.402362 
41696435106967 41696086741000 0.24407148 2.787364 9.399012 
41696443512591 41696153408000 0.37418374 2.7564728 9.403841 
41696452841550 41696220099000 0.45835605 2.728648 9.408229 
41696462608467 41696286872000 0.5966766 2.7650118 9.389841 
41696473873841 41696353573000 0.6793832 2.8453374 9.360176 
41696515302758 41696420077000 0.72958165 2.8335342 9.359977 
41696526056258 41696486769000 0.8488784 2.8845103 9.334314 
41696607918967 41696553442000 0.7698703 2.9493527 9.32089 
41696622636925 41696620091000 0.6616716 3.0043795 9.31162 
41696689730716 41696686813000 0.57414263 3.0145433 9.314145 
41696758583633 41696753550000 0.3806129 3.0780222 9.303295 
41696823333383 41696820429000 0.3685954 2.849991 9.376145 
41696891209633 41696887596000 0.19409949 3.0640285 9.313671 
41696961247842 41696954960000 -0.020901626 3.058718 9.317414 
41697023838008 41697020184000 -0.08197496 2.837303 9.386872 
41697090458633 41697086817000 -0.24067268 2.5570097 9.464365 
41697157314592 41697153510000 -0.39917704 3.0030985 9.326975 
41697224488092 41697220363000 -0.5146954 2.949367 9.338453 
41697290369968 41697286765000 -1.0113198 2.6058474 9.39985 
41697360084093 41697353571000 -1.1147311 2.7603807 9.343879 
41697424627675 41697420748000 -1.3100473 2.9221592 9.269043 
41697489202175 41697486728000 -1.2155604 2.8235552 9.312375 
41697555928300 41697553470000 -1.2073429 2.8333197 9.310479 
41697626078759 41697620374000 -1.1886015 2.8203125 9.316836 
41697689273925 41697686767000 -1.0959862 2.9759028 9.279722 
41697757393634 41697753485000 -1.1676086 2.5504115 9.39694 
41697824038759 41697820145000 -0.96114063 3.1197715 9.247357 
41697889762509 41697887177000 -0.9981706 2.8966486 9.315764 
41697961093092 41697953406000 -0.82742584 2.7634382 9.37279 
41698023570842 41698020176000 -0.54114085 2.5096445 9.464632 
41698090395259 41698086793000 -0.3297877 2.8266933 9.384638 
41698157026968 41698153446000 -0.2829868 2.5862095 9.455256 
41698223855301 41698220144000 -0.27711213 2.6173668 9.44685 
41698290077884 41698286772000 -0.04185701 2.5636759 9.4655285 
41698356155259 41698353436000 -0.04533961 2.3852506 9.512041 
41698425392927 41698420140000 -0.029642878 2.6803164 9.43321 
41698490105427 41698486748000 -0.20102438 2.6568422 9.437752 
41698555893010 41698553431000 -0.36626697 2.7344515 9.410579 
41698623622926 41698620138000 -0.42500806 2.6976063 9.418742 
41698689440718 41698686790000 -0.5123266 2.9978707 9.323125 
41698756646385 41698753445000 -0.40818256 3.126016 9.286108 
41698824011718 41698820165000 -0.29200405 2.708624 9.420641 
41698889789468 41698886773000 -0.3209207 2.57247 9.45779 
41698956289885 41698953425000 -0.5331439 2.818636 9.377711 
41699024151510 41699020201000 -0.47920105 2.5212023 9.464898 
41699089825426 41699086816000 -0.38689885 2.4500678 9.487776 
41699156895927 41699153547000 -0.34923324 2.491176 9.478526 
41699223111635 41699220146000 -0.56143266 2.3789136 9.497156 
41699289976676 41699286839000 0.15014462 2.1472106 9.567515 
41699356400802 41699353487000 -0.35274997 2.5221143 9.47021 
41699423366301 41699420136000 0.2640205 1.7954326 9.637278 
41699490448802 41699487127000 -0.085681684 2.755286 9.411242 
41699556684385 41699553519000 0.45401523 1.9423376 9.601645 
41699623562968 41699620561000 0.39708954 2.4456797 9.488486 
41699689906218 41699686790000 0.37788475 2.5099387 9.472476 
41699756625343 41699753431000 0.48731634 2.0732946 9.572584 
41699823370427 41699820214000 0.5110983 2.3377209 9.510218 
41699891344135 41699886819000 0.33499882 2.4590316 9.48743 
41699957468843 41699953461000 0.14827369 2.39465 9.508632 
41700026446719 41700022487000 -0.03136205 2.2291162 9.549893 
41700091331677 41700086839000 0.058484707 1.8157527 9.6369095 
41700156743219 41700153414000 -0.06774022 2.7362394 9.416943 
41700222721427 41700220162000 -0.2094922 1.5453061 9.681866 
41700290261677 41700286794000 -0.1264964 2.0693297 9.585003 
41700355851385 41700353403000 -1.1625466 1.6903772 9.589655 
41700423729885 41700420189000 -0.68010086 1.4242498 9.678812 
41700489261177 41700486781000 -1.0735875 1.0544894 9.690503 
41700555884052 41700553402000 -0.9917266 1.0992239 9.694255 
