#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
41696400761425 41695886760000 0.09071 -0.23976 -0.19945 
41696415577258 41695953395000 0.03421 -0.14325 -0.06781 
41696424790466 41696020110000 -0.00855 -0.14019 -0.00214 
41696433461050 41696086741000 -0.02718 -0.09224 0.08094 
41696441799008 41696153408000 -0.09316 -0.19487 0.04062 
41696451005717 41696220099000 -0.16127 -0.17471 -0.02291 
41696460885758 41696286872000 -0.0733 -0.19487 -0.02443 
41696472014050 41696353573000 0.09224 -0.19059 0.08216 
41696513665841 41696420077000 -0.02993 -0.0788 0.22297 
41696523387591 41696486769000 -0.12401 -0.07361 0.25015 
41696605971842 41696553442000 -0.08522 0.15608 0.15974 
41696620670425 41696620091000 -0.01924 0.3766 0.16738 
41696687451967 41696686813000 -0.02046 0.35919 0.27917 
41696754501341 41696753550000 0.01313 0.45571 0.45571 
41696821083550 41696820429000 -0.48839 0.12553 0.24038 
41696888261175 41696887596000 -0.22846 0.06597 0.00672 
41696955906300 41696954960000 0.39126 0.44593 0.28833 
41697020969092 41697020184000 0.33689 0.55405 0.84391 
41697087595133 41697086817000 -0.45815 0.28253 0.27703 
41697154183508 41697153510000 0.14813 0.02993 -0.00702 
41697221245676 41697220363000 0.73457 -0.29902 0.01619 
41697287616009 41697286765000 0.12187 -0.05651 -0.10018 
41697354674425 41697353571000 -0.15027 -0.08827 -0.28008 
41697421720259 41697420748000 0.12614 -0.00672 -0.20067 
41697487230883 41697486728000 0.14172 -0.31673 -0.17929 
41697553981508 41697553470000 0.07269 -0.48136 -0.2364 
41697621892175 41697620374000 -0.08338 -0.58277 -0.35705 
41697687281759 41697686767000 0.18448 -0.51771 -0.33292 
41697754260550 41697753485000 -0.39523 -0.23152 -0.3769 
41697821074843 41697820145000 0.51893 -0.35461 -0.4722 
41697887798342 41697887177000 0.64752 -0.04123 -0.15363 
41697954127550 41697953406000 0.22022 0.12523 0.2193 
41698021064134 41698020176000 -0.55925 -0.17685 0.28069 
41698087577967 41698086793000 -0.03574 -0.17929 0.09988 
41698154221009 41698153446000 0.08735 0.07239 0.07453 
41698221015259 41698220144000 0.12981 0.31124 0.29352 
41698287257009 41698286772000 -0.11851 0.1295 0.43707 
41698354202467 41698353436000 -0.63622 0.18357 0.2868 
41698420860718 41698420140000 -0.09071 0.27886 0.26573 
41698487402051 41698486748000 0.28894 0.39584 0.37751 
41698554052426 41698553431000 0.27642 0.36896 0.46334 
41698620816718 41698620138000 -0.21472 -0.03971 0.1686 
41698687469593 41698686790000 0.12431 -0.10934 0.0452 
41698754063093 41698753445000 0.6805 -0.09438 0.3992 
41698820961843 41698820165000 0.04215 -0.21991 0.72052 
41698887557051 41698886773000 -0.59101 -0.36224 0.1295 
41698954074843 41698953425000 -0.04062 -0.12584 -0.23732 
41699021162635 41699020201000 0.00275 -0.16127 -0.39034 
41699087477718 41699086816000 -0.14875 -0.33139 -0.43188 
41699154240885 41699153547000 -0.16493 -0.30452 -0.35339 
41699220809552 41699220146000 -0.30085 0.30727 -0.2251 
41699287530552 41699286839000 -0.69364 -0.76053 -0.63774 
41699354146218 41699353487000 0.10293 -0.00153 -0.44013 
41699420874760 41699420136000 -0.3091 -0.37813 -0.87659 
41699487899177 41699487127000 1.17317 0.3879 -0.32101 
41699554272385 41699553519000 0.16921 -0.32009 -0.15058 
41699621264718 41699620561000 0.19395 -0.42516 -0.1744 
41699687535177 41699686790000 0.48442 -0.06903 0.10018 
41699754126218 41699753431000 -0.21869 0.10843 0.14478 
41699820998844 41699820214000 -0.17959 0.14783 0.10568 
41699887458760 41699886819000 0.14264 0.30421 0.22449 
41699954114635 41699953461000 0.11576 0.4383 0.54672 
41700023179635 41700022487000 -0.29749 0.36346 0.75686 
41700087705593 41700086839000 -1.0571 -0.36499 0.21197 
41700154366385 41700153414000 0.82161 -0.39798 0.5904 
41700220816427 41700220162000 -0.13195 -0.23121 0.87904 
41700287471302 41700286794000 0.00458 -0.22663 0.43646 
41700353983093 41700353403000 -0.39279 1.26419 -1.07512 
41700421104802 41700420189000 -0.79168 0.56536 -0.61789 
41700487396385 41700486781000 -0.95967 0.10568 -0.81825 
41700553993635 41700553402000 -0.48717 -0.27703 -0.03665 
41700620760760 41700620141000 0.89003 -1.12369 -0.32742 
41700687387511 41700686778000 0.28344 -0.02963 -0.64691 
41700754040386 41700753437000 0.55803 -0.19548 -0.66187 
41700820739011 41700820129000 0.36133 0.42455 0.80879 
41700887236802 41700886746000 -0.87293 0.25931 0.6805 
41700954139427 41700953439000 0.62583 -0.2868 -0.11393 
41701020583594 41701020109000 0.64599 0.02596 -0.05162 
41701087846344 41701086773000 0.3262 -0.09957 -0.23427 
41701154143886 41701153596000 0.32559 -0.37415 -0.39737 
41701220561553 41701220085000 0.16371 -1.28098 0.04337 
41701287250093 41701286781000 -1.04061 0.57788 0.11576 
41701353921093 41701353461000 -1.04 -0.30055 0.2138 
41701420785302 41701420128000 1.2929 0.062 0.44654 
41701487439678 41701486825000 0.44685 -0.51435 0.89431 
41701554896636 41701554402000 -0.33934 -0.35094 0.78985 
41701623533803 41701620262000 0.13378 0.46609 0.66432 
41701687430386 41701686843000 0.1518 -0.00489 0.32956 
41701753936886 41701753455000 -0.1741 -0.2193 0.12675 
41701820747261 41701820153000 0.21411 -0.30818 0.02382 
41701887516178 41701886855000 0.30513 -0.135 -0.011 
