#SysTm EventTmStmp Pressure
41930247257995 41929785549000 995.9984 
41930259107245 41929855554000 995.9757 
41930268177995 41929925599000 996.05383 
41930279606953 41929995611000 995.9427 
41930292404245 41930065710000 995.9965 
41930325214454 41930135746000 996.0518 
41930356217745 41930205570000 996.06744 
41930424725161 41930276380000 996.07623 
41930437819870 41930345570000 996.0627 
41930473973328 41930415864000 995.939 
41930490875245 41930485590000 996.0489 
41930556410453 41930555653000 996.08044 
41930630210620 41930626288000 995.9702 
41930698271870 41930695591000 996.02637 
41930765877829 41930765572000 995.98193 
41930835949120 41930835588000 996.05676 
41930905976662 41930905618000 995.9337 
41930975884787 41930975577000 995.987 
41931045874954 41931045584000 996.03687 
41931116760995 41931116241000 996.017 
41931187121620 41931185611000 995.98706 
41931255913454 41931255595000 996.03986 
41931325852787 41931325571000 995.99414 
41931395847662 41931395565000 996.0953 
41931465895412 41931465547000 996.0177 
41931536070870 41931535729000 995.95984 
41931605942537 41931605605000 996.04297 
41931675951745 41931675605000 996.0691 
41931746395579 41931745841000 996.0477 
41931815846579 41931815589000 996.0362 
41931886297412 41931885974000 996.09735 
41931956952329 41931956320000 996.0697 
41932028727329 41932025566000 996.0555 
41932096503620 41932095662000 996.0176 
41932165900704 41932165601000 996.0963 
41932237637745 41932237284000 996.1879 
41932305854871 41932305574000 996.0721 
41932375969371 41932375630000 995.99316 
41932445935413 41932445587000 996.10657 
41932516157746 41932515706000 996.0458 
41932601453163 41932585640000 995.88025 
41932656033871 41932655669000 995.9365 
41932725803246 41932725573000 995.911 
41932795836579 41932795581000 996.08044 
41932865844662 41932865570000 996.09985 
41932935985704 41932935655000 995.98926 
41933005960830 41933005609000 995.95526 
41933077147663 41933075755000 996.0327 
41933145863788 41933145601000 996.1116 
41933215894705 41933215588000 996.00696 
41933286394205 41933286002000 996.08966 
41933355984996 41933355602000 996.03534 
41933430385121 41933425614000 996.0038 
41933497534955 41933495654000 996.00995 
41933566019038 41933565621000 996.1265 
41933636561413 41933636094000 995.8788 
41933706284371 41933705985000 996.0291 
41933775869955 41933775572000 996.0332 
41933845825871 41933845570000 996.064 
41933915884496 41933915573000 996.0642 
41933986766622 41933985571000 996.03076 
41934056480163 41934056166000 996.0426 
41934126487538 41934126199000 995.9888 
41934199259871 41934196756000 996.0747 
41934265998455 41934265727000 996.0476 
41934335897664 41934335598000 996.17566 
41934405988830 41934405606000 996.1888 
41934478486455 41934477070000 996.12177 
41934546544205 41934546240000 996.1385 
41934616336914 41934616052000 996.1709 
41934686442122 41934686102000 996.23267 
41934756071747 41934755715000 996.1285 
41934829293205 41934825600000 996.20404 
41934898729080 41934895576000 996.0397 
41934972961455 41934965645000 996.0831 
41935044612413 41935035575000 996.0699 
41935111689122 41935106351000 996.0401 
41935183840122 41935175597000 996.03107 
41935254919580 41935245957000 996.05145 
41935321168080 41935315564000 996.0368 
41935387223830 41935385612000 996.0678 
41935457699705 41935455569000 996.061 
41935537675163 41935525567000 996.081 
41935604338205 41935595958000 996.1389 
41935665918830 41935665580000 996.0923 
41935735807288 41935735584000 996.05237 
41935806322205 41935805657000 996.0626 
41935877828872 41935876624000 996.10645 
41935956841080 41935945619000 995.9928 
41936038470914 41936015630000 996.16284 
41936103889414 41936085574000 996.166 
41936185921206 41936155620000 996.17993 
41936230960832 41936225579000 996.12555 
41936307151915 41936296080000 996.12384 
41936365817581 41936365583000 996.1796 
41936435890123 41936435603000 996.1323 
41936506039373 41936505642000 996.1058 
41936575859248 41936575575000 996.01984 
41936645880623 41936645581000 996.1171 
41936716085456 41936715687000 996.0875 
41936785897415 41936785579000 996.02136 
41936855971957 41936855656000 996.0687 
41936926570165 41936926149000 996.1911 
41936995924164 41936995585000 996.16077 
41937065921331 41937065588000 996.0924 
41937139032581 41937135936000 996.196 
41937205941998 41937205642000 996.1111 
41937275859789 41937275591000 996.1078 
41937345827206 41937345586000 996.03217 
41937416254248 41937415696000 996.14575 
41937485901123 41937485598000 996.0887 
41937561474665 41937555670000 996.1392 
41937630874623 41937625568000 996.1488 
41937698484290 41937695576000 996.1919 
41937765901998 41937765610000 996.14355 
41937835886915 41937835591000 996.17834 
41937905860873 41937905573000 996.1143 
41937975930248 41937975567000 996.18854 
41938045933998 41938045607000 996.1696 
41938115916998 41938115611000 996.2337 
41938185924665 41938185622000 996.1566 
41938255974415 41938255638000 996.1604 
41938326072498 41938325612000 996.1262 
41938395983832 41938395597000 996.1091 
41938465961332 41938465590000 996.0561 
41938540437290 41938535643000 996.0329 
41938605897707 41938605612000 996.1354 
41938675850499 41938675599000 996.06866 
41938746776124 41938745610000 996.0591 
41938816562874 41938816270000 996.104 
