#SysTm EventTmStmp Ori:x Ori:y Ori:z
42080192620983 42079755923000 3.009984 -0.2399017 -0.072726406 
42080206301816 42079822531000 3.0040917 -0.24552438 -0.07811384 
42080214430191 42079889230000 2.9983366 -0.24163541 -0.08024074 
42080221686525 42079955942000 2.994023 -0.24550988 -0.07696695 
42080229745566 42080022572000 2.9872222 -0.24486896 -0.08292168 
42080240035733 42080089259000 2.9797945 -0.2471805 -0.08010658 
42080247711191 42080155927000 2.969497 -0.25090316 -0.07888467 
42080273281441 42080222546000 2.9631479 -0.25193688 -0.07544842 
42080377257858 42080289237000 2.957087 -0.25068465 -0.08121941 
42080391842608 42080355889000 2.9451149 -0.2560527 -0.08712074 
42080428103858 42080422563000 2.9451177 -0.24693893 -0.095540114 
42080499583983 42080489214000 2.9434237 -0.24217388 -0.10194898 
42080560235858 42080555898000 2.9357054 -0.24951194 -0.10536639 
42080626723150 42080622550000 2.936766 -0.25043583 -0.10652809 
42080695462400 42080689290000 2.9270852 -0.25682166 -0.10160318 
42080766518859 42080757034000 2.9227376 -0.26513228 -0.09481729 
42080832772483 42080822573000 2.9138427 -0.27730003 -0.08732273 
42080896229900 42080889243000 2.8976834 -0.29471543 -0.0794289 
42080969086066 42080957534000 2.894343 -0.30079678 -0.064715914 
42081032051025 42081023329000 2.898216 -0.30101502 -0.06215896 
42081099030066 42081089384000 2.912643 -0.30311036 -0.04629055 
42081166295983 42081155892000 2.90738 -0.30572733 -0.031399537 
42081227431317 42081222563000 2.9085538 -0.30343834 -0.06036877 
42081293565317 42081289242000 2.9105408 -0.2941478 -0.04248341 
42081360142067 42081355923000 2.9198968 -0.2884401 -0.05196973 
42081429082233 42081422663000 2.9111977 -0.29252845 -0.013468192 
42081496778442 42081489314000 2.9180894 -0.2823623 -0.008784394 
42081560602692 42081555901000 2.9298062 -0.2718961 0.008406918 
42081627460484 42081622610000 2.9378283 -0.2822189 0.0042917444 
42081694059775 42081689282000 2.9422393 -0.27800182 0.010123975 
42081760103859 42081755921000 2.9540033 -0.28459018 0.0063637923 
42081827587859 42081822653000 2.965158 -0.28965527 0.0012961287 
42081895531608 42081889281000 2.968573 -0.29078895 0.016408524 
42081960920192 42081955939000 3.0068884 -0.2752062 -0.01029742 
42082028366358 42082022623000 3.0266387 -0.28517252 0.0043180226 
42082094808358 42082089321000 3.0476873 -0.27331555 0.025568785 
42082160994983 42082156546000 3.0457437 -0.26346382 0.0012002982 
42082227367400 42082222576000 3.0756059 -0.24488948 -0.049147956 
42082294841400 42082289303000 3.0707526 -0.256047 -0.012522188 
42082360638400 42082355894000 3.0742934 -0.2502598 -0.040252678 
42082427701567 42082422619000 3.084601 -0.23620827 -0.049271863 
42082493180858 42082489263000 3.0838916 -0.24707521 -0.04504541 
42082566484358 42082555948000 3.0735033 -0.25302753 -0.03231558 
42082630128026 42082622680000 3.0607495 -0.26368454 -0.033364683 
42082694089068 42082689274000 3.0414405 -0.2686945 -0.011379529 
42082759992317 42082755895000 3.05796 -0.24801551 -0.02990706 
42082828560318 42082822694000 3.0606441 -0.30499753 -0.025157033 
42082894112484 42082889264000 3.0673528 -0.26862907 0.023526808 
42082960163902 42082955884000 3.0871 -0.2698804 -0.020006465 
42083030961610 42083022651000 3.127402 -0.22275327 -0.0114817945 
42083094396401 42083089249000 3.1280863 -0.25241673 0.032894652 
42083159822609 42083155910000 -3.1210194 -0.21329458 0.019369828 
42083261078318 42083222673000 -3.1082506 -0.20009354 0.016399574 
42083318374901 42083290838000 -3.0825703 -0.20906189 0.019337498 
42083361547276 42083357220000 -3.070308 -0.21312389 0.00757709 
42083427562484 42083422603000 -3.0461829 -0.2190753 -0.026754435 
42083493860359 42083489247000 -3.042809 -0.22809212 -0.005672314 
42083565737859 42083556739000 -3.0181868 -0.2132465 -0.04881225 
42083629118942 42083622565000 -3.0108988 -0.2527674 -0.05200798 
42083694254734 42083689239000 -3.0310988 -0.25102893 -3.385858E-4 
42083766773526 42083755912000 -3.0444536 -0.22656506 -0.0494437 
42083831374777 42083822716000 -3.0457232 -0.24182327 -0.074701704 
42083896006860 42083890871000 -3.0923765 -0.2401723 -0.03203405 
42083961022318 42083955934000 -3.098564 -0.19839662 -0.046015676 
42084027363901 42084022638000 -3.1232915 -0.21479905 -0.04900894 
42084094190526 42084089263000 3.138359 -0.20770505 -0.052084316 
42084160932027 42084155912000 3.1154644 -0.21825407 -0.040298015 
42084226695652 42084222566000 3.1001356 -0.20882739 -0.0414865 
42084294674318 42084289256000 3.0852234 -0.21611966 -0.039876934 
42084367972443 42084355924000 3.0986714 -0.18041202 -0.048806652 
42084426698068 42084422588000 3.113368 -0.19299304 -0.05988053 
42084493715776 42084489307000 3.0801353 -0.19181702 -0.02109616 
42084560769609 42084556032000 3.0992172 -0.14186287 -0.08245374 
42084627816026 42084622596000 3.0969698 -0.14808258 -0.051889718 
42084693062693 42084689225000 3.0550864 -0.17608798 -0.013512578 
42084759872860 42084755929000 3.0718114 -0.1328294 -0.00845682 
42084826743486 42084822595000 3.0836244 -0.13144737 -0.016179826 
42084893236944 42084889239000 3.0888612 -0.14166307 -0.002940174 
42084962421277 42084955977000 3.1005294 -0.13502552 -0.0409193 
42085026900735 42085022589000 3.1033146 -0.10498866 -0.13001801 
