#SysTm EventTmStmp Mag:x Mag:y Mag:z
42505707265060 42505145640000 -9.24 -35.579998 -18.48 
42505714744684 42505212340000 -9.48 -35.34 -18.539999 
42505721516143 42505279139000 -9.36 -35.64 -18.48 
42505729331601 42505345867000 -9.179999 -35.82 -18.48 
42505734985059 42505412683000 -9.24 -35.94 -18.3 
42505742972351 42505480270000 -9.599999 -35.76 -18.119999 
42505751905685 42505546197000 -9.78 -35.76 -17.94 
42505759389559 42505612886000 -10.139999 -35.7 -17.82 
42505766397393 42505679665000 -10.08 -35.7 -17.699999 
42505808534976 42505746396000 -10.38 -35.579998 -17.699999 
42505839307226 42505813227000 -10.44 -35.1 -17.699999 
42505880880060 42505879876000 -10.679999 -35.1 -17.82 
42505948160476 42505946693000 -10.86 -34.92 -17.94 
42506015469434 42506013649000 -11.099999 -34.92 -17.82 
42506082163434 42506080506000 -11.5199995 -34.8 -17.76 
42506149498226 42506147876000 -11.759999 -34.8 -17.699999 
42506215727434 42506214695000 -12.059999 -34.86 -17.76 
42506282485142 42506281313000 -12.24 -34.86 -17.82 
42506349224142 42506348065000 -12.599999 -34.62 -17.82 
42506416175518 42506414809000 -12.9 -34.38 -18.0 
42506483206018 42506481592000 -13.139999 -34.14 -18.24 
42506566618185 42506548513000 -13.08 -33.96 -18.6 
42506616334101 42506615159000 -13.0199995 -33.84 -18.96 
42506683494101 42506682090000 -12.66 -33.78 -19.38 
42506750118393 42506748792000 -12.36 -33.719997 -19.56 
42506816599018 42506815559000 -11.94 -33.719997 -19.74 
42506883449351 42506882342000 -11.639999 -33.899998 -19.859999 
42506951992352 42506949902000 -11.219999 -34.02 -19.859999 
42507018523435 42507016419000 -10.86 -34.26 -19.8 
42507084042352 42507082609000 -10.559999 -34.2 -19.8 
42507150631018 42507149356000 -10.2 -34.2 -19.8 
42507217324143 42507216127000 -9.9 -34.26 -19.859999 
42507284047518 42507282877000 -9.66 -34.14 -19.859999 
42507350749393 42507349612000 -9.54 -34.02 -19.68 
