#SysTm EventTmStmp La:x La:y La:z
42505704181934 42505122748000 0.6625 -0.36172596 -0.036933016 
42505710406018 42505189439000 0.10927871 -0.12378588 -0.2184481 
42505718353934 42505256101000 0.92919385 -0.16700806 -0.32848963 
42505725260435 42505322811000 -0.1319 -0.7353835 -0.8933786 
42505732156976 42505389500000 0.57740307 0.7694269 -0.70238197 
42505739464268 42505456133000 0.48316696 0.37584642 -0.91617376 
42505746741560 42505522826000 -0.22383542 0.23872897 -1.2861159 
42505755368060 42505589510000 0.5476602 0.38120407 -0.5063824 
42505763978976 42505656129000 0.20204599 1.1660762 -0.36036652 
42505804431851 42505722809000 0.23605318 1.4790512 -0.26920155 
42505813921268 42505789482000 0.23167905 0.96546555 -0.30790275 
42505858408393 42505856118000 -0.33999813 1.099338 -0.26854515 
42505925328226 42505922821000 0.8805615 0.74760765 -0.14638007 
42505992464392 42505989455000 -0.17440242 0.8750104 0.3078326 
42506062380684 42506056241000 0.44945467 0.71330523 0.55186117 
42506127269434 42506122867000 0.718362 0.0659275 0.19449791 
42506192823601 42506189448000 0.34849897 -0.21366826 -0.30833238 
42506259564517 42506256207000 0.8977833 -0.3009183 -0.6956132 
42506331633767 42506326555000 0.79725033 -0.65835726 -0.12801906 
42506393136434 42506389470000 1.2222059 0.16367972 0.15303719 
42506459196934 42506456143000 1.3074782 0.37038898 -0.28817105 
42506526302810 42506522867000 0.6808542 0.78211486 -0.45750588 
42506604598309 42506589512000 0.62296355 0.7399002 -0.5379431 
42506659584477 42506656164000 1.0069733 0.8885833 -0.29818332 
42506726341351 42506722801000 -0.008498583 0.7902224 -0.4248913 
42506792391518 42506789483000 -0.13545352 0.51131403 0.2849813 
42506859319643 42506856385000 -0.37914824 0.0050537763 0.5374094 
42506927702434 42506922990000 -0.35927966 -0.16156702 1.483426 
42506993348852 42506989537000 -1.5229622 -0.68477356 -1.0005156 
42507061255436 42507056186000 -0.61760676 -0.31604996 -0.4753671 
42507125652685 42507122833000 -0.17106172 -0.032373782 -0.91581374 
42507196403227 42507189499000 -0.21658377 0.5621749 -1.6041467 
42507258308893 42507256181000 0.20377289 0.56638694 -1.8884447 
42507325215018 42507322811000 -0.04159743 0.73463964 -0.9038474 
42507393974351 42507389727000 0.2790251 -0.42919788 0.6842787 
42507458422726 42507456137000 -0.067038015 -0.04522866 0.8501573 
42507525076852 42507522811000 0.33813277 -0.27601218 1.0569997 
42507592719602 42507589510000 0.3482059 -0.22527379 -0.021209378 
42507658373810 42507656151000 1.0632994 -0.24360177 0.121147424 
42507726210518 42507722993000 1.4347085 0.29645956 -1.3939608 
42507791695518 42507789478000 0.6451891 0.62137514 -1.1478789 
42507858660852 42507856218000 0.73337156 -0.016496195 -1.4197844 
42507927412518 42507922862000 1.2794654 0.55529165 0.029357027 
42507991698935 42507989485000 -0.42843628 0.70028764 0.42566696 
42508059363227 42508056167000 -0.12827443 -1.0127665 1.247773 
42508125224477 42508122813000 -1.0487909 -0.56994814 0.71092474 
42508191829727 42508189481000 -2.1814566 -1.1741387 -1.133454 
42508258487769 42508256142000 -1.2999196 0.87733656 -1.0131576 
42508325137978 42508322826000 -0.6495892 0.29087275 -1.7944156 
42508392093352 42508389519000 -0.9725624 0.5845509 -1.2698656 
42508460902769 42508456144000 -1.0943995 0.15684187 -1.5197792 
42508526303852 42508522817000 -0.69881684 0.11131745 0.70909697 
42508591786185 42508589490000 -0.2692513 -0.4942704 1.6307646 
42508660163769 42508656173000 0.9013034 -1.1276823 1.2781769 
42508726012977 42508722869000 1.002147 -0.6934417 -0.19173546 
42508796417102 42508789555000 0.52179426 -0.26806322 -0.3181547 
42508859187768 42508856244000 0.2991397 -0.50407416 -1.1503041 
42508926629060 42508923433000 -0.067981206 0.026233781 -1.5844091 
42508992881060 42508989694000 0.11332764 -0.26882178 -1.1271195 
42509059104018 42509056174000 -0.04545666 -0.97042954 -0.35278586 
42509128745935 42509122806000 -1.0950204 -1.3033324 0.8282272 
42509193298435 42509189546000 -1.4764662 -1.4380928 2.6018193 
42509260332602 42509256278000 -0.82911575 -0.69927216 0.18248774 
42509326715602 42509322852000 -1.0630955 -0.58434683 0.07871698 
42509392830810 42509389561000 -0.49362123 -0.7791813 -1.359505 
42509460675685 42509456441000 -0.7969637 -0.8249751 -2.1169105 
42509525698852 42509522841000 0.114553615 0.07780783 -1.7848821 
42509591381852 42509589450000 0.07222499 -0.2852339 -0.8170564 
42509658475645 42509656171000 -0.1374154 -0.41728303 0.49090895 
42509725131062 42509722831000 0.37065133 -0.9468983 1.6374112 
42509792428520 42509789493000 0.7132295 -1.5915327 1.7475188 
42509859422311 42509856150000 0.88171524 -1.5707095 1.7606069 
42509926641770 42509922856000 1.5693989 -1.0125191 -0.15118425 
42509993083728 42509989574000 1.0269147 -0.23878816 -1.5940052 
42510058758936 42510056163000 1.1356714 0.07341551 -2.0441175 
42510125240144 42510122840000 1.291635 0.7727683 -1.8108255 
42510191731561 42510189493000 0.49546707 -0.0672057 -0.115365334 
42510258914145 42510256172000 -0.15304676 0.39721963 0.37067223 
42510325043937 42510322818000 -0.008387926 -0.37605232 1.7455127 
42510391758603 42510389493000 -0.5117596 -0.221098 0.43237436 
42510459933394 42510456145000 -0.45566535 0.09800112 -0.054997664 
42510532603895 42510522898000 -0.6873611 0.5186367 -1.2875854 
42510591531896 42510589509000 -0.2759724 0.8349243 -2.0952065 
42510658610019 42510656146000 -0.014721988 1.2032825 -1.791234 
42510725426437 42510722834000 -0.26971224 1.1818254 -1.2715292 
42510791840895 42510789499000 0.12693195 0.97310024 0.58736855 
42510858525519 42510856177000 0.6324375 0.7776536 0.9435177 
42510925202605 42510922880000 0.62051773 0.1449194 2.2626925 
42510994188937 42510990032000 0.5427787 0.12299084 -0.42828915 
42511058458479 42511056170000 1.0917666 0.5806623 -0.69111645 
42511125263354 42511122855000 0.8741042 0.8397537 -1.4258511 
42511191722437 42511189506000 0.54642683 1.4143343 -2.0271897 
42511258632395 42511256181000 1.0305682 1.606705 -1.6131028 
42511325204021 42511322847000 0.4311863 1.3757664 -0.19597091 
42511395766979 42511390049000 -0.73514307 0.39377815 1.5145828 
42511458755312 42511456138000 -0.561826 0.5620473 2.0251064 
42511524729978 42511522787000 -0.6802007 0.23168662 -0.1202116 
42511592046395 42511589540000 -0.7012835 0.6726973 -0.56252164 
42511659017895 42511656171000 -0.92415214 0.7200905 -0.98811674 
42511725462645 42511722838000 -0.119636 1.2762039 -2.1116679 
42511791811645 42511789486000 0.0017784078 1.3341043 -2.1417725 
42511859022687 42511856157000 0.17593473 1.4443178 -0.6840321 
42511925480937 42511922807000 0.28095114 0.9454188 0.47170624 
42511991892687 42511989491000 0.34161922 0.7304091 0.80993986 
42512058462104 42512056138000 0.15801081 -0.0027684784 2.4208593 
42512124909062 42512122813000 0.071634255 0.10091696 0.3918173 
42512191782312 42512189503000 1.2555062 0.20154628 -0.009884265 
42512259901228 42512256187000 1.0011901 0.5355641 -1.1800796 
42512325371937 42512322846000 0.6811141 0.5495274 -1.9005648 
42512391852604 42512389542000 0.74954385 1.44145 -1.856133 
42512459249270 42512456339000 0.44816324 1.0375648 -0.6966426 
42512525481854 42512522975000 0.10599197 0.8954725 0.24086393 
42512594398312 42512589504000 0.050060336 0.4570533 1.8619729 
42512658820979 42512656160000 -0.4976052 -0.11879509 1.6707764 
42512726680395 42512722983000 -0.51233166 0.1042754 -0.068567924 
42512792028562 42512789504000 -0.8071394 -0.112006016 -0.93039227 
42512859165020 42512856155000 -0.30893904 0.312684 -1.605411 
42512927647520 42512922966000 0.18280016 0.6570488 -1.9884845 
42512992019562 42512989508000 0.75148576 0.95450264 -1.4307389 
42513058963729 42513056166000 -0.42700648 0.8057789 -0.5397878 
42513124806812 42513122826000 -0.41464686 0.27665275 0.8362673 
42513191661312 42513189486000 -0.13973598 -0.024441417 1.1990842 
42513259616313 42513256253000 0.96871984 -0.7208204 0.811822 
42513326049105 42513322983000 1.3346977 -1.0445036 -0.3806325 
42513392304271 42513389537000 0.2882159 -0.25597763 -0.21525136 
42513458547979 42513456190000 0.61036944 -0.11745989 -1.519885 
42513525102771 42513522840000 0.3513749 0.099168375 -1.9629899 
42513591723896 42513589481000 0.50045174 0.59971595 -0.9013789 
42513658196729 42513656151000 -0.28786045 0.4072622 0.6974767 
42513725524355 42513722853000 -0.6548653 0.02658055 1.0975568 
42513791737314 42513789514000 -0.42808366 -0.5522873 0.81816 
42513859854271 42513856181000 -1.3093672 -1.120897 -0.010370003 
42513930107689 42513922853000 -1.0920196 -0.399779 -0.57011694 
42513993002647 42513989545000 -0.8157386 -0.029246554 -1.9246143 
42514058230772 42514056135000 -0.6255288 0.27988216 -2.2762861 
42514124830021 42514122804000 0.01719857 0.903752 -1.6791917 
42514191870355 42514189507000 0.3332799 0.9551311 -0.43595573 
42514260091731 42514256216000 -0.23071192 0.4937376 0.6378303 
42514325217981 42514322822000 0.64210165 -0.23666452 1.9734201 
42514391780564 42514389488000 0.6059717 -0.47990587 2.232655 
42514458458730 42514456186000 1.4862984 -0.53381467 -0.68861705 
42514524976772 42514522823000 0.95151603 0.04193121 -0.46386898 
42514592087730 42514589539000 0.9730287 -0.1320065 -1.1207004 
42514660341731 42514656171000 0.2916019 0.70181686 -1.9768753 
42514726446189 42514722852000 0.44044256 0.8029411 -1.8295285 
42514793830188 42514789544000 -0.29400048 0.48349547 -0.43824822 
42514858549064 42514856175000 -0.7333724 0.601854 0.6066648 
42514925540356 42514922857000 -0.8290222 0.2503751 1.3094985 
42515002521105 42514989559000 -0.29604197 -0.23602322 0.5420909 
42515058363355 42515056163000 -0.6593031 -0.2818939 -0.33035657 
42515125050772 42515122845000 -0.2996232 0.17725922 -1.073637 
42515191795855 42515189518000 -0.5034039 0.66610974 -2.1073084 
42515259455230 42515256258000 0.22269031 0.8921906 -2.4650843 
42515325608147 42515322862000 -0.23758784 1.4647713 -1.3086697 
42515395918856 42515390093000 0.04726806 0.86357117 0.1602683 
42515477025522 42515456265000 0.18094625 1.4402323 0.47519 
42515526947772 42515522847000 -0.19769831 -0.01981069 1.6472014 
42515591942731 42515589529000 -0.18048096 0.010767916 0.600069 
42515658546647 42515656166000 1.0014397 -0.23604368 -0.4343933 
42515725501481 42515722851000 1.0770745 0.4989602 -1.1205571 
42515791512397 42515789507000 0.45019764 0.43133405 -1.340701 
42515858169689 42515856152000 0.7854892 0.93276334 -1.7641835 
42515925078772 42515922864000 0.33291376 0.78083545 -0.65962243 
42515991574272 42515989522000 -0.08820151 0.78985405 -0.082870595 
