#SysTm EventTmStmp Acc:x Acc:y Acc:z
28183440677621 28182982954000 0.37349546 3.1986535 8.532935 
28183453455370 28182994802000 0.2777274 3.2944214 8.714894 
28183463333245 28183004783000 0.21068975 3.3518825 8.839393 
28183531026662 28183015341000 0.1436521 3.371036 8.973468 
28183536224162 28183025082000 0.12449849 3.3806129 9.097966 
28183541231912 28183035084000 0.12449849 3.3518825 9.184157 
28183545356246 28183044365000 0.12449849 3.371036 9.203311 
28183549858204 28183054448000 0.15322891 3.323152 9.174581 
28183553515829 28183065706000 0.21068975 3.3135753 9.136273 
28183558007162 28183075348000 0.19153613 3.2752678 9.097966 
28183562645412 28183085347000 0.18195933 3.2561142 9.021352 
28183567162162 28183095360000 0.19153613 3.1986535 9.011775 
28183572506454 28183105976000 0.17238252 3.169923 9.002198 
28183578427870 28183115992000 0.1436521 3.1986535 9.088389 
28183583046121 28183125776000 0.11492168 3.2273839 9.136273 
28183587582954 28183135765000 0.076614454 3.3039982 9.184157 
28183592631621 28183146463000 0.06703765 3.3039982 9.212888 
28183597249996 28183156265000 0.08619126 3.2752678 9.212888 
28183602055621 28183166149000 0.10534488 3.2369606 9.193734 
28183606552954 28183175914000 0.12449849 3.2752678 9.14585 
28183611499579 28183186954000 0.15322891 3.2561142 9.107543 
28183616122246 28183196163000 0.15322891 3.2369606 9.059659 
28183619725912 28183206204000 0.16280572 3.2082303 9.030929 
28183623391912 28183216279000 0.23942018 3.217807 9.030929 
28183633888287 28183227050000 0.21068975 3.1986535 9.059659 
28183639995495 28183236443000 0.21068975 3.1986535 9.097966 
28183643899204 28183246672000 0.22026655 3.2082303 9.174581 
28183647697246 28183256672000 0.23942018 3.217807 9.088389 
28183651677746 28183267121000 0.31603462 3.1986535 9.069236 
28183655346413 28183276852000 0.35434186 3.2082303 9.030929 
28183659016120 28183286962000 0.35434186 3.217807 8.983045 
28183662800621 28183297145000 0.30645782 3.2465374 8.916007 
28183666946496 28183307178000 0.2873042 3.2369606 8.8777 
28183670796246 28183317343000 0.24899697 3.2273839 8.858546 
28183674501079 28183328157000 0.2681506 3.2369606 8.829816 
28183678175579 28183337744000 0.25857377 3.2369606 8.810662 
28183680372704 28183347859000 0.2681506 3.2273839 8.868123 
28183684018620 28183359572000 0.2777274 3.2465374 8.925584 
28183687657954 28183368666000 0.31603462 3.2561142 9.069236 
28183691534996 28183379121000 0.2681506 3.2369606 9.165004 
28183695693329 28183389429000 0.2777274 3.2561142 9.289502 
28183699232454 28183399409000 0.25857377 3.2369606 9.385271 
28183703019162 28183409524000 0.24899697 3.2561142 9.375694 
28183710068954 28183427221000 0.24899697 3.2465374 9.3182335 
