#SysTm EventTmStmp Light
36536012833091 36535592491000 16.0 
36536022070008 36535602526000 20.0 
36536029343299 36535612674000 20.0 
36536094175717 36535622621000 20.0 
36536101991342 36535632535000 20.0 
36536107322550 36535642517000 20.0 
36536112168300 36535652622000 6.0 
36536117767509 36535662632000 6.0 
36536122605759 36535672633000 6.0 
36536127126342 36535682629000 6.0 
36536131374384 36535692641000 16.0 
36536135758592 36535702627000 16.0 
36536142194217 36535712628000 16.0 
36536147199592 36535722626000 16.0 
36536152085092 36535732628000 15.0 
36536156683800 36535742628000 15.0 
36536161867175 36535752846000 15.0 
36536166531759 36535762848000 15.0 
36536171150842 36535772847000 15.0 
36536175698884 36535782851000 15.0 
36536180726009 36535792848000 15.0 
36536185403926 36535802848000 15.0 
36536190478634 36535812847000 20.0 
36536197179800 36535822847000 20.0 
36536204189050 36535832846000 20.0 
36536212987925 36535842842000 20.0 
36536219146092 36535852844000 15.0 
36536225149634 36535862832000 15.0 
36536234822675 36535872846000 15.0 
36536247752175 36535882837000 15.0 
36536255970717 36535892893000 15.0 
36536266633800 36535902883000 15.0 
36536272298092 36535912898000 15.0 
36536277188592 36535922893000 15.0 
36536281768467 36535932896000 20.0 
36536286375842 36535942893000 20.0 
36536291214675 36535953989000 20.0 
36536295597425 36535963113000 20.0 
36536300056051 36535973213000 15.0 
36536308077300 36535983328000 15.0 
36536312988384 36535993886000 15.0 
36536314506300 36536002844000 15.0 
36536319456508 36536012632000 16.0 
36536323738925 36536024116000 16.0 
36536330000383 36536032625000 16.0 
36536333364717 36536042773000 16.0 
36536337978592 36536052761000 18.0 
36536342316134 36536063055000 18.0 
36536347013842 36536072882000 18.0 
36536401617425 36536082714000 18.0 
36536404066300 36536093659000 15.0 
36536415356259 36536102962000 15.0 
36536421349175 36536112542000 15.0 
36536426520342 36536122545000 15.0 
36536432343509 36536132543000 18.0 
36536437657467 36536142550000 18.0 
36536444647675 36536152538000 18.0 
36536450170217 36536162918000 18.0 
36536455439092 36536172542000 11.0 
36536461373509 36536182543000 11.0 
36536477110092 36536192640000 11.0 
36536482734759 36536202644000 11.0 
36536489251133 36536212653000 11.0 
36536494639675 36536222650000 11.0 
36536500532134 36536233285000 11.0 
36536504435425 36536242686000 11.0 
36536508512425 36536252531000 20.0 
36536516405050 36536263686000 20.0 
36536517293759 36536272536000 20.0 
36536521129675 36536282543000 20.0 
36536524980342 36536292534000 18.0 
36536528865550 36536303836000 18.0 
36536533081134 36536312563000 18.0 
36536538078842 36536322559000 18.0 
36536541807634 36536332555000 18.0 
36536563016967 36536342599000 16.0 
36536564037633 36536352546000 16.0 
36536573898342 36536363391000 16.0 
36536593751134 36536372592000 16.0 
36536599444508 36536382560000 13.0 
36536607348050 36536392715000 13.0 
36536645428384 36536402586000 13.0 
36536662819425 36536412581000 13.0 
36536667273509 36536422584000 15.0 
36536672188134 36536432751000 15.0 
36536676211592 36536442880000 15.0 
36536681446884 36536452972000 15.0 
36536687082134 36536463089000 18.0 
36536693399675 36536472632000 18.0 
36536700209634 36536482583000 18.0 
36536706061592 36536492790000 18.0 
36536709783050 36536502519000 15.0 
36536716877342 36536512523000 15.0 
36536721095842 36536522517000 15.0 
36536724865675 36536532531000 15.0 
36536731360592 36536548356000 16.0 
36536735579009 36536562515000 16.0 
36536739395508 36536572519000 16.0 
36536744455633 36536582793000 15.0 
36536749184342 36536592511000 15.0 
36536753491800 36536602514000 15.0 
36536757215134 36536612513000 15.0 
36536761947717 36536622517000 15.0 
36536766472342 36536632550000 15.0 
36536770406217 36536642533000 15.0 
36536804483175 36536652587000 15.0 
36536810052676 36536662545000 18.0 
36536817305592 36536672524000 18.0 
36536822138634 36536686359000 18.0 
36536829183967 36536702551000 18.0 
36536834737175 36536712814000 18.0 
36536839561508 36536722512000 18.0 
36536845313676 36536732503000 18.0 
36536850662717 36536742959000 15.0 
36536855640134 36536752504000 15.0 
36536861456759 36536762521000 15.0 
36536866423509 36536772504000 15.0 
36536871398676 36536784497000 18.0 
36536875783842 36536792532000 18.0 
36536880931176 36536802584000 18.0 
36536916370466 36536813078000 18.0 
36536920348342 36536822535000 15.0 
36536925910633 36536832540000 15.0 
36536930260050 36536842546000 15.0 
36536934491341 36536852542000 15.0 
36536939318925 36536862546000 15.0 
36536943665675 36536872971000 15.0 
36536948783508 36536883210000 15.0 
36536952958883 36536892767000 15.0 
36536957484591 36536902900000 20.0 
36537041210633 36536912969000 20.0 
36537048498633 36536922742000 20.0 
36537054080925 36536932519000 20.0 
36537059463050 36536942522000 11.0 
36537065805717 36536954326000 11.0 
36537071180008 36536962507000 11.0 
36537077042383 36536972506000 11.0 
36537082580091 36536982503000 16.0 
36537089625383 36536992519000 16.0 
36537094901716 36537002565000 16.0 
36537101746258 36537012555000 16.0 
36537106364425 36537022581000 16.0 
36537113823800 36537032564000 20.0 
36537156926133 36537042600000 20.0 
36537162243883 36537052769000 20.0 
36537168801716 36537062610000 20.0 
36537173584258 36537072622000 15.0 
36537177867675 36537082667000 15.0 
36537182968883 36537106115000 16.0 
36537191301967 36537122625000 16.0 
36537195245925 36537132957000 16.0 
36537199682216 36537142680000 16.0 
36537204324966 36537152655000 15.0 
36537236858383 36537162652000 15.0 
36537240775092 36537172501000 15.0 
36537245864967 36537182508000 15.0 
36537250064217 36537192500000 15.0 
36537255340883 36537202488000 15.0 
36537259274675 36537212498000 15.0 
36537263524800 36537222499000 15.0 
36537267755425 36537232544000 20.0 
36537322227468 36537242523000 20.0 
36537326591051 36537252507000 20.0 
36537330507843 36537262687000 20.0 
36537334772176 36537272616000 11.0 
36537338594676 36537282662000 11.0 
36537341384718 36537292540000 11.0 
36537345188635 36537302763000 11.0 
36537350357093 36537312693000 15.0 
36537379063092 36537322774000 15.0 
36537384494009 36537332845000 15.0 
36537388396551 36537342911000 15.0 
36537393788217 36537352625000 20.0 
36537396874968 36537363084000 20.0 
36537401451301 36537372540000 20.0 
36537428551343 36537383423000 20.0 
36537434325842 36537393865000 11.0 
36537438174884 36537402524000 11.0 
36537439537051 36537416877000 11.0 
36537470475385 36537432760000 16.0 
36537474791592 36537442497000 16.0 
36537478884426 36537452500000 16.0 
36537482631884 36537463653000 16.0 
36537514403050 36537472805000 18.0 
36537518790259 36537482495000 18.0 
36537522639676 36537492499000 18.0 
36537526312842 36537502510000 18.0 
36537569528634 36537513043000 15.0 
36537575060717 36537522504000 15.0 
36537579130425 36537533356000 15.0 
36537583207800 36537542550000 15.0 
36537587527217 36537552499000 16.0 
36537591343842 36537562709000 16.0 
36537621644217 36537572556000 16.0 
36537625240259 36537582519000 16.0 
36537629726134 36537592518000 15.0 
36537633584467 36537602861000 15.0 
36537637420926 36537612494000 15.0 
36537665420842 36537622507000 15.0 
36537671234342 36537632494000 16.0 
36537675389509 36537642502000 16.0 
36537679269050 36537652905000 16.0 
36537682978092 36537663071000 16.0 
36537712134676 36537674286000 20.0 
36537716890176 36537682556000 20.0 
36537720876342 36537692559000 20.0 
36537724151134 36537702621000 20.0 
36537754548342 36537712594000 20.0 
36537759414134 36537722512000 16.0 
36537763257134 36537732517000 16.0 
36537768270634 36537744607000 16.0 
36537771429009 36537752616000 16.0 
36537815039467 36537762560000 16.0 
36537819344925 36537772503000 16.0 
36537823195301 36537782508000 16.0 
36537827548717 36537792511000 16.0 
36537831367259 36537802622000 20.0 
36537858111717 36537813558000 20.0 
36537863297134 36537822506000 20.0 
36537867670759 36537832496000 20.0 
36537871454884 36537842506000 20.0 
36537875161801 36537852502000 20.0 
36537903213884 36537862748000 20.0 
36537909305217 36537872496000 20.0 
36537913146842 36537882636000 16.0 
36537916969842 36537892661000 16.0 
36537920296509 36537902548000 16.0 
36537950678426 36537912501000 16.0 
36537954083843 36537922511000 16.0 
36537957902968 36537932507000 16.0 
36537961614468 36537942519000 16.0 
36538006744885 36537952502000 16.0 
36538007701259 36537962950000 16.0 
36538011637843 36537972502000 16.0 
36538016544593 36537982501000 16.0 
36538021209676 36537993054000 16.0 
36538051797468 36538002586000 20.0 
36538056381051 36538012552000 20.0 
36538062931176 36538023255000 20.0 
36538067476760 36538033247000 20.0 
36538071406385 36538045910000 13.0 
36538102326926 36538053483000 13.0 
36538105860926 36538062532000 13.0 
36538111316801 36538073245000 13.0 
36538114236759 36538083167000 15.0 
36538118105093 36538092516000 15.0 
36538165806718 36538103166000 15.0 
36538172816134 36538113565000 15.0 
36538176460885 36538122503000 20.0 
36538180519385 36538132506000 20.0 
36538184507676 36538142493000 20.0 
36538186288551 36538152505000 20.0 
36538190208093 36538162507000 20.0 
36538218721843 36538172506000 20.0 
36538223194843 36538183636000 20.0 
36538227471843 36538192517000 20.0 
36538231638676 36538202522000 16.0 
36538235383010 36538212604000 16.0 
36538265359385 36538222504000 16.0 
36538269595134 36538232504000 16.0 
36538277236051 36538251020000 18.0 
36538314141468 36538262525000 18.0 
36538320236218 36538272515000 18.0 
36538324435843 36538282519000 16.0 
36538329271301 36538292699000 16.0 
36538332209885 36538302512000 16.0 
36538336439343 36538312637000 16.0 
36538373642759 36538324279000 20.0 
36538377762801 36538332741000 20.0 
36538378250884 36538343804000 20.0 
